"configuration","problem","model","data_file","status","time","run","objective"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","3.715","results_container","11520"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","3.775","results_container","11136"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","3.877","results_container","10440"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","4.075","results_container","9828"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","4.139","results_container","9126"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","4.225","results_container","8424"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","4.291","results_container","8112"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","4.358","results_container","7800"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","4.485","results_container","7776"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","4.675","results_container","7452"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","4.742","results_container","7200"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","4.95","results_container","6600"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","5.468","results_container","6578"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","5.542","results_container","6292"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","6.022","results_container","6160"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","6.085","results_container","5880"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","6.161","results_container","5600"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","9.015","results_container","5520"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","9.151","results_container","5280"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","9.222","results_container","4928"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","13.838","results_container","4830"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","14.767","results_container","4800"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","25.829","results_container","4788"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","26.722","results_container","4760"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","33.785","results_container","4576"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","40.881","results_container","4368"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","46.167","results_container","4160"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","51.802","results_container","4032"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","98.999","results_container","3960"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","124.538","results_container","3915"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","","150.519","results_container","3780"
