"configuration","problem","model","data_file","status","time","variables","method","failures","propagations","propagators","flatTime","initTime","backjumps","baseMem","flatIntVars","peakMem","flatIntConstraints","restarts","flatBoolVars","evaluatedHalfReifiedConstraints","paths","peakDepth","solveTime","objective","nodes","intVars","trailMem","flatBoolConstraints","error","solutions","randomSeed","nogoods","run","nSolutions","boolVariables","optTime","evaluatedReifiedConstraints"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","UNKNOWN","1201.2589687239379","30305","minimize","1229725","9132518068","33175","2.16007","0.349081","","","605","","30605","0","29700","29700","0","200","1197.84","","2459634","","","4950","","0","","","results","0","","",""
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","ERROR","12.738828897476196","","minimize","","","","9.00688","","","","1205","","121205","","119400","119400","0","","","","","","","19900","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","ERROR","19.264613250270486","","minimize","","","","13.6699","","","","1505","","189005","","186750","186750","0","","","","","","","31125","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","ERROR","0.10475629568099976","","","","","","","","","","","","","","","","","","","","","","","","syntax error, unexpected integer literal, expecting |]","","","","results","","","",""
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","ERROR","18.647088984027505","","minimize","","","","13.1977","","","","1505","","189005","","186750","186750","0","","","","","","","31125","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","ERROR","4.261491686105728","","minimize","","","","2.91892","","","","725","","43925","","42840","42840","0","","","","","","","7140","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","ERROR","4.9771871361881495","","minimize","","","","3.41278","","","","785","","51485","","50310","50310","0","","","","","","","8385","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","UNSATISFIABLE","109.28684972971678","488366","minimize","24902","457881793","60300","2.19533","0.498","29798","0.0","899","0.0","30899","0","29700","","0","353","105.733","-1","54691","899","0.63","4950","","","1307454467","24902","results","0","487465","0.0","29700"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","UNKNOWN","1201.1713624447584","43565","minimize","811269","6751807558","50345","2.91909","0.375455","","","725","","43925","0","42840","42840","0","249","1197.08","","1622759","","","7140","","0","","","results","0","","",""
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","ERROR","12.957912676036358","","minimize","","","","9.30422","","","","1205","","121205","","119400","119400","0","","","","","","","19900","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
