"configuration","problem","model","data_file","status","time","propagations","boolVariables","propagators","peakMem","evaluatedHalfReifiedConstraints","unifiedVariables","objectiveBound","nodes","variables","solveTime","run","blockType","evaluatedReifiedConstraints","optTime","solutions","paths","flatBoolConstraints","peakDepth","failures","nogoods","userDecisions","flatTime","method","oracleDecisions","restarts","flatBoolVars","trailMem","extractedViews","intVars","nSolutions","initTime","flatIntConstraints","randomSeed","intVariables","backjumps","baseMem","flatIntVars","objective"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","UNKNOWN","1200.8952313028276","17818140383","","34575","","29700","","","2696982","30305","1198.36","results_container","","","","0","0","4950","196","1348401","","","1.63666","minimize","","0","29700","","","","0","0.28881","30005","","","","","605",""
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1202.8147395513952","1160976449","","119405","","119400","0","","","","1191.238312","results_container","complete","","","","0","19900","42933","688921","","0","7.2284","minimize","21907931","0","119400","","600","","64","1.542243","120005","","605","","","1205","12090"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1204.199385035783","1572239125","","186755","","186750","0","","","","1186.470437","results_container","complete","","","","0","31125","76440","465549","","0","11.1158","minimize","37631319","0","186750","","750","","64","2.418625","187505","","755","","","1505","15120"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1202.7407655324787","1056163778","","119405","","119400","0","","","","1191.38535","results_container","complete","","","","0","19900","43262","673612","","0","7.03728","minimize","16440778","0","119400","","600","","34","1.57349","120005","","605","","","1205","10400"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1204.2566626667976","1516885972","","186755","","186750","0","","","","1186.082514","results_container","complete","","","","0","31125","66490","442765","","0","11.4241","minimize","36883013","0","186750","","750","","69","2.490262","187505","","755","","","1505","15984"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1201.128346728161","796382709","","42845","","42840","0","","","","1197.100167","results_container","complete","","","","0","7140","58852","1225365","","0","2.37259","minimize","6739613","0","42840","","360","","36","0.537948","43205","","365","","","725","5328"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1201.2177831083536","816685414","","50315","","50310","0","","","","1196.570417","results_container","complete","","","","0","8385","17911","1045506","","0","2.82382","minimize","6938139","0","50310","","390","","32","0.612023","50705","","395","","","785","8160"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","UNKNOWN","1201.0894326008856","2884868903","99774","60300","0.0","","","","1574760","100675","1198.371","results_container","","29700","0.0","","0","4950","624","1217782","1217782","","1.62579","minimize","","0","29700","0.63","","899","0","0.419","30299","-1024031433","","356450","0.0","899","-1"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","UNKNOWN","1201.2030834387988","13165284479","","50345","","42840","","","2189659","43565","1197.5","results_container","","","","0","0","7140","379","1094698","","","2.49685","minimize","","0","42840","","","","0","0.375257","43205","","","","","725",""
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1202.7224428672343","3974690765","","119405","","119400","0","","","","1191.444368","results_container","complete","","","","0","19900","128638","370756","","0","6.96916","minimize","24029482","5995","119400","","600","","57","1.588362","120005","","605","","","1205","12432"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1201.105479059741","838455061","","42845","","42840","0","","","","1196.835409","results_container","complete","","","","0","7140","17193","1101778","","0","2.62494","minimize","7287311","0","42840","","360","","35","0.536238","43205","","365","","","725","6440"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1202.7226273026317","1116698159","","119405","","119400","0","","","","1191.208878","results_container","complete","","","","0","19900","40737","629928","","0","7.00548","minimize","16002808","0","119400","","600","","36","1.790296","120005","","605","","","1205","10608"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","UNKNOWN","1203.2912906687707","","","","","119400","","","","","","results_container","","","","","0","19900","","","","","7.18107","minimize","","","119400","","","","0","","120005","","","","","1205",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","UNKNOWN","1203.027091568336","","","","","119400","","","","","","results_container","","","","","0","19900","","","","","6.95344","minimize","","","119400","","","","0","","120005","","","","","1205",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","UNKNOWN","1203.1349354516715","","","","","","","","","","","results_container","","119400","","","0","19900","","","","","7.42708","minimize","","","119400","","","","0","","120599","","","","","1799",""
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1201.0672121215612","3496630173","","42845","","42840","0","","","","1196.934865","results_container","complete","","","","0","7140","55249","907116","","0","2.53842","minimize","20037038","18840","42840","","360","","35","0.525047","43205","","365","","","725","6084"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","UNKNOWN","1201.593756698072","4344883644","133748","86760","0.0","","","","2851851","134829","1197.548","results_container","","42840","0.0","","0","7140","698","2094005","2094005","","2.44976","minimize","","0","42840","0.63","","1079","0","0.593","43559","10836560","","757258","0.0","1079","-1"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1204.361015919596","3709516557","","186755","","186750","0","","","","1185.779604","results_container","complete","","","","0","31125","190072","202410","","0","11.8197","minimize","41395531","2143","186750","","750","","74","2.416657","187505","","755","","","1505","18963"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","UNKNOWN","1201.1757998857647","12356799245","","50345","","42840","","","1761618","43565","1197.51","results_container","","","","0","0","7140","270","880693","","","2.48994","minimize","","0","42840","","","","0","0.371756","43205","","","","","725",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1202.0581675507128","6195780","124286","","","119400","","384","","","58.7457","results_container","","","","","0","19900","","5271","","","7.09261","minimize","","","119400","","","","1","","120005","","","","","1205","15876"
