"configuration","problem","model","data_file","status","time","run","nSolutions","propagators","objective","flatIntVars","evaluatedReifiedConstraints","userDecisions","intVariables","flatIntConstraints","solveTime","flatBoolConstraints","oracleDecisions","peakDepth","initTime","paths","flatTime","restarts","failures","method","flatBoolVars","extractedViews","blockType","unifiedVariables","propagations"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.3510574260727","results_container_basic","34","2118","12555","1205","2688","0","605","1758","1199.968848","960","270049","3562","0.041595","0","0.166964","0","104852","minimize","1728","600","complete","0","6208199"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.28582550399","results_container_basic","43","2668","17360","1505","3388","0","755","2208","1199.776855","1210","300350","4287","0.055283","0","0.178661","0","59647","minimize","2178","750","complete","0","4247452"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.2784605901688","results_container_basic","32","2118","10692","1205","2688","0","605","1758","1199.911605","960","187627","1391","0.039691","0","0.157894","0","108160","minimize","1728","600","complete","0","6385930"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.255923395045","results_container_basic","50","2646","22360","1505","3360","0","755","2196","1199.819666","1200","326894","4574","0.057177","0","0.185227","0","28652","minimize","2160","750","complete","0","3326097"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.1971827237867","results_container_basic","29","1260","4992","725","1596","0","365","1050","1199.867577","570","361120","898","0.02463","0","0.133918","0","304430","minimize","1026","360","complete","0","16134335"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.160809545312","results_container_basic","28","1359","8208","785","1722","0","395","1134","1199.844914","615","329468","978","0.026924","0","0.127678","0","277478","minimize","1107","390","complete","0","14368692"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","UNKNOWN","1200.3602285599336","results_container_basic","0","2118","","1205","2688","0","605","1758","1199.826612","960","319342","3420","0.041536","0","0.156151","28","274044","minimize","1728","600","complete","0","2843893"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.156970562879","results_container_basic","36","1260","5670","725","1596","0","365","1050","1199.841412","570","357126","802","0.025047","0","0.129084","0","302381","minimize","1026","360","complete","0","17269354"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.343330772128","results_container_basic","32","2118","10230","1205","2688","0","605","1758","1199.886027","960","172488","1959","0.039456","0","0.158172","0","96518","minimize","1728","600","complete","0","6671486"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.256298602093","results_container_basic","38","1260","5440","725","1596","0","365","1050","1199.864674","570","679947","2341","0.024705","0","0.1214","2487","212521","minimize","1026","360","complete","0","24499115"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.3073726999573","results_container_basic","29","2646","31122","1505","3360","0","755","2196","1199.766234","1200","257929","7685","0.056917","0","0.196868","94","8157","minimize","2160","750","complete","0","2694861"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.3355974717997","results_container_basic","40","1040","4830","605","1316","0","305","870","1199.876769","470","511036","675","0.023469","0","0.134195","0","455537","minimize","846","300","complete","0","23530740"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.2549632289447","results_container_basic","40","1029","4080","605","1302","0","305","864","1199.863745","465","433528","885","0.020897","0","0.120115","0","375925","minimize","837","300","complete","0","18224638"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.2312954301015","results_container_basic","34","2118","7350","1205","2688","0","605","1758","1199.838886","960","191398","1210","0.039386","0","0.175442","0","104612","minimize","1728","600","complete","0","6673873"
