"configuration","problem","model","data_file","status","time","propagators","paths","evaluatedReifiedConstraints","extractedViews","restarts","oracleDecisions","intVariables","flatIntConstraints","initTime","nSolutions","propagations","flatBoolConstraints","failures","flatBoolVars","unifiedVariables","blockType","flatIntVars","method","userDecisions","objective","solveTime","peakDepth","run","flatTime"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.1762780183926","2118","0","2688","600","0","277386","605","1758","0.04135","44","5988862","960","91164","1728","0","complete","1205","minimize","0","12375","1199.802041","3517","results_container_merge","0.157557"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.4537482778542","2668","0","3388","750","0","262037","755","2208","0.055898","40","3696126","1210","32984","2178","0","complete","1505","minimize","0","19044","1199.98041","4272","results_container_merge","0.186837"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.1676143696532","2118","0","2688","600","0","154736","605","1758","0.039781","37","6457513","960","84619","1728","0","complete","1205","minimize","0","9889","1199.793377","1268","results_container_merge","0.165132"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.2408973863348","2646","0","3360","750","0","354458","755","2196","0.055087","58","3609030","1200","29572","2160","0","complete","1505","minimize","0","20202","1199.829238","4726","results_container_merge","0.175235"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.2412304482423","1260","0","1596","360","0","366153","365","1050","0.02489","26","17993187","570","314972","1026","0","complete","725","minimize","0","4860","1199.882234","715","results_container_merge","0.129733"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.1600919538178","1359","0","1722","390","0","320522","395","1134","0.026777","21","14483290","615","271771","1107","0","complete","785","minimize","0","7920","1199.857237","718","results_container_merge","0.122671"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.1771791111678","2118","0","2688","600","273","377463","605","1758","0.04152","49","5443706","960","19988","1728","0","complete","1205","minimize","0","12474","1199.797408","5388","results_container_merge","0.164666"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.2011077911593","1260","0","1596","360","0","419994","365","1050","0.02499","33","19602984","570","355963","1026","0","complete","725","minimize","0","5940","1199.885384","1000","results_container_merge","0.123129"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.3344007371925","2118","0","2688","600","0","154497","605","1758","0.039642","30","6323499","960","90031","1728","0","complete","1205","minimize","0","10500","1199.96732","1068","results_container_merge","0.158947"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.2289367741905","1260","0","1596","360","2578","669528","365","1050","0.025054","42","26209172","570","217942","1026","0","complete","725","minimize","0","5520","1199.858393","1606","results_container_merge","0.131436"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.1784168770537","2646","0","3360","750","73","233380","755","2196","0.057399","18","2248619","1200","5746","2160","0","complete","1505","minimize","0","37800","1199.778149","9310","results_container_merge","0.173777"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.1855221856385","1040","0","1316","300","0","531028","305","870","0.021374","45","25242290","470","468167","846","0","complete","605","minimize","0","5187","1199.842588","648","results_container_merge","0.133674"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.186730299145","1029","0","1302","300","0","414962","305","864","0.022376","42","19983404","465","360142","837","0","complete","605","minimize","0","3990","1199.856614","679","results_container_merge","0.124743"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.2945418637246","2118","0","2688","600","0","169261","605","1758","0.040253","25","6912346","960","98829","1728","0","complete","1205","minimize","0","7425","1199.905028","3501","results_container_merge","0.166489"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.1465962599032","1260","0","1596","360","1999","618235","365","1050","0.024733","33","21369407","570","189812","1026","0","complete","725","minimize","0","4860","1199.847144","2678","results_container_merge","0.124943"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.1757489047013","2118","0","2688","600","336","328679","605","1758","0.038921","42","5066268","960","13814","1728","0","complete","1205","minimize","0","7776","1199.810113","4474","results_container_merge","0.158"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.1468919902109","1029","0","1302","300","3088","822689","305","864","0.021793","45","29043453","465","310486","837","0","complete","605","minimize","0","3780","1199.856639","2886","results_container_merge","0.120448"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.3082586219534","1029","0","1302","300","0","422858","305","864","0.021382","42","20364140","465","367123","837","0","complete","605","minimize","0","3990","1199.868552","679","results_container_merge","0.131579"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.1936031091027","2118","0","2688","600","0","267561","605","1758","0.040609","45","6401775","960","78351","1728","0","complete","1205","minimize","0","7350","1199.830708","3600","results_container_merge","0.15599"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.1615960551426","1260","0","1596","360","0","366943","365","1050","0.023969","26","18023897","570","315301","1026","0","complete","725","minimize","0","4860","1199.860182","715","results_container_merge","0.124368"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.1665051323362","1260","0","1596","360","0","420060","365","1050","0.025106","33","19606010","570","356029","1026","0","complete","725","minimize","0","5940","1199.867668","1000","results_container_merge","0.12013"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.2846152861603","2118","0","2688","600","0","154571","605","1758","0.041954","37","6448919","960","84455","1728","0","complete","1205","minimize","0","9889","1199.898395","1268","results_container_merge","0.166638"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.2652203990147","1370","0","1736","390","0","318621","395","1140","0.026833","19","15386351","620","275772","1116","0","complete","785","minimize","0","4901","1199.862972","982","results_container_merge","0.123985"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.2011124421842","1029","0","1302","300","2733","772849","305","864","0.021089","47","24377060","465","252256","837","0","complete","605","minimize","0","3360","1199.867808","1222","results_container_merge","0.115619"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.4409312498756","2646","0","3360","750","0","353512","755","2196","0.057233","58","3597187","1200","29537","2160","0","complete","1505","minimize","0","20202","1199.934344","4726","results_container_merge","0.173846"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.2790943216532","1370","0","1736","390","0","320105","395","1140","0.02652","19","15448235","620","277132","1116","0","complete","785","minimize","0","4901","1199.846767","982","results_container_merge","0.137279"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.175407978706","1370","0","1736","390","1864","613899","395","1140","0.026922","53","20441068","620","123584","1116","0","complete","785","minimize","0","4860","1199.865153","1831","results_container_merge","0.126998"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.1588479890488","1040","0","1316","300","0","540124","305","870","0.022159","45","25860052","470","476781","846","0","complete","605","minimize","0","5187","1199.852454","648","results_container_merge","0.122231"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.2694103317335","2668","0","3388","750","199","305540","755","2208","0.05476","32","3446615","1210","17769","2178","0","complete","1505","minimize","0","32240","1199.789819","4306","results_container_merge","0.197036"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.1800309061073","1260","0","1596","360","2026","597446","365","1050","0.025216","46","18687333","570","147940","1026","0","complete","725","minimize","0","6048","1199.874455","1304","results_container_merge","0.120498"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.266397235915","2118","0","2688","600","331","254100","605","1758","0.038603","35","5431904","960","21580","1728","0","complete","1205","minimize","0","7980","1199.780076","3384","results_container_merge","0.178131"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.1553081572056","1029","0","1302","300","0","485148","305","864","0.021177","40","25124443","465","427358","837","0","complete","605","minimize","0","3528","1199.87469","569","results_container_merge","0.110849"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.1691492027603","1260","0","1596","360","0","422651","365","1050","0.025147","30","18859053","570","365346","1026","0","complete","725","minimize","0","5175","1199.858972","738","results_container_merge","0.128427"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.3117336956784","2118","0","2688","600","0","267792","605","1758","0.039128","45","6413451","960","78568","1728","0","complete","1205","minimize","0","7350","1199.845475","3600","results_container_merge","0.16485"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.3026717114262","2118","0","2688","600","0","169536","605","1758","0.038713","25","6927173","960","99096","1728","0","complete","1205","minimize","0","7425","1199.923144","3501","results_container_merge","0.166235"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.256823251024","1040","0","1316","300","2973","824630","305","870","0.021296","36","26786631","470","258808","846","0","complete","605","minimize","0","5082","1199.853655","1913","results_container_merge","0.121033"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.211443929933","2118","0","2688","600","0","154563","605","1758","0.039205","30","6326687","960","90097","1728","0","complete","1205","minimize","0","10500","1199.852485","1068","results_container_merge","0.155048"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.311038762331","2668","0","3388","750","0","262081","755","2208","0.053724","40","3700177","1210","33027","2178","0","complete","1505","minimize","0","19044","1199.902561","4272","results_container_merge","0.177679"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.2938875732943","2118","0","2688","600","431","281829","605","1758","0.039411","35","5565505","960","15818","1728","0","complete","1205","minimize","0","10944","1199.807304","3968","results_container_merge","0.165198"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.1780669339933","1359","0","1722","390","1665","537325","395","1134","0.026796","43","18512519","615","144111","1107","0","complete","785","minimize","0","7830","1199.846045","1697","results_container_merge","0.124873"
