"configuration","problem","model","data_file","status","time","flatTime","run","method","flatBoolVars","flatIntVars","intVariables","propagations","solveTime","unifiedVariables","failures","nSolutions","flatIntConstraints","peakDepth","blockType","objective","userDecisions","paths","restarts","flatBoolConstraints","initTime","extractedViews","evaluatedReifiedConstraints","oracleDecisions","propagators"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.5431887130253","0.241446","results_container_seperate+merge","minimize","1728","1205","605","8477981","1199.788063","0","97892","56","1758","3785","complete","10530","0","0","0","960","0.042896","600","2688","364054","2118"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.6027137129568","0.26274","results_container_seperate+merge","minimize","2178","1505","755","4155361","1199.690829","0","45845","38","2208","4356","complete","18972","0","0","0","1210","0.057939","750","3388","295289","2668"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.5804278119467","0.242153","results_container_seperate+merge","minimize","1728","1205","605","7544039","1199.713336","0","120885","30","1758","3510","complete","9408","0","0","0","960","0.041145","600","2688","244808","2118"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.601550033316","0.267461","results_container_seperate+merge","minimize","2160","1505","755","4150819","1199.673591","0","27747","55","2196","4438","complete","15840","0","0","0","1200","0.059636","750","3360","383856","2646"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.4962123278528","0.194269","results_container_seperate+merge","minimize","1026","725","365","20483178","1199.775989","0","384884","30","1050","721","complete","4488","0","0","0","570","0.026053","360","1596","448117","1260"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.618052081205","0.210077","results_container_seperate+merge","minimize","1107","785","395","18947795","1199.811769","0","362516","22","1134","850","complete","7344","0","0","0","615","0.028067","390","1722","422193","1359"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.5150292208418","0.247557","results_container_seperate+merge","minimize","1728","1205","605","5994540","1199.720918","0","15778","56","1758","3878","complete","11760","0","0","372","960","0.042747","600","2688","368456","2118"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.49989194097","0.205113","results_container_seperate+merge","minimize","1026","725","365","21133937","1199.759021","0","381418","36","1050","920","complete","5796","0","0","0","570","0.032628","360","1596","456752","1260"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.5799608137459","0.238027","results_container_seperate+merge","minimize","1728","1205","605","9056436","1199.788499","0","124702","31","1758","1577","complete","9072","0","0","0","960","0.039981","600","2688","219291","2118"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.5112440097146","0.20701","results_container_seperate+merge","minimize","1026","725","365","29076865","1199.77194","0","248823","49","1050","1660","complete","5168","0","0","2926","570","0.032615","360","1596","741270","1260"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.5827511767857","0.266487","results_container_seperate+merge","minimize","2160","1505","755","3099496","1199.677594","0","8082","21","2196","8722","complete","36800","0","0","71","1200","0.059764","750","3360","291117","2646"
