"configuration","problem","model","data_file","status","time","variables","intVars","flatIntVars","failures","nSolutions","peakMem","solveTime","blockType","optTime","nodes","unifiedVariables","boolVariables","nogoods","restarts","solutions","run","trailMem","paths","propagations","randomSeed","backjumps","extractedViews","intVariables","userDecisions","flatTime","flatBoolVars","evaluatedHalfReifiedConstraints","oracleDecisions","method","flatBoolConstraints","baseMem","propagators","peakDepth","initTime","flatIntConstraints","evaluatedReifiedConstraints","objective"
"gecode","","../filters/filter.mzn","../filters/dct_1_2.dzn","SATISFIED","1201.185476411134","137","","73","356252375","1","","1199.72","","","712504797","","","","0","1","results","","0","3159892192","","","","","","0.278524","","","","minimize","","","78","58","0.054899","75","","32"
"chuffed","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.5154777336865664","11666","83","84","7","2","0.0","0.009","","0.009","206","","11581","7","2","","results","0.04","0","24695","1023145609","93","","","","0.249445","1344","","","minimize","336","0.0","2758","67","0.024","1405","1344","17"
"Huub_user","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.5680359974503517","","","51","2835","1","","0.11041","complete","","","0","","","0","","results","","0","421339","","","8","35","3044","0.213663","728","728","745","minimize","336","","775","786","0.013828","783","","28"
"Huub_user","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.7577549982815981","","","33","687","3","","0.028397","complete","","","0","","","0","","results","","0","60116","","","1","32","808","0.185821","310","310","990","minimize","127","","333","362","0.009375","334","","15"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.5538029279559851","","","33","2139","4","","0.071323","complete","","","0","","","0","","results","","0","180022","","","1","24","0","0.18677","310","310","3716","minimize","127","","333","426","0.009466","334","","15"
"Huub_vsids","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.4370004516094923","","","26","96","8","","0.015922","complete","","","0","","","0","","results","","0","7639","","","3","18","0","0.171261","80","80","1207","minimize","20","","89","214","0.005477","92","","6"
"Huub_user","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","1.0634822957217693","","","49","1275","3","","0.070266","complete","","","0","","","0","","results","","0","327503","","","4","45","5590","0.37265","600","600","2039","minimize","180","","631","721","0.012969","635","","16"
"Huub_user","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","67.75464667193592","","","73","504830","1","","65.661635","complete","","","0","","","0","","results","","0","71278497","","","8","65","511309","0.507254","1456","1456","1527","minimize","608","","1521","1588","0.024581","1529","","32"
"Huub_user","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","1.1045315023511648","","","61","1832","2","","0.084131","complete","","","0","","","0","","results","","0","230890","","","4","45","5418","0.42707","720","720","1728","minimize","180","","751","915","0.014102","755","","11"
"chuffed","","../filters/filter.mzn","../filters/dct_1_2.dzn","SATISFIED","1201.2167528029531","14406","80","80","22056357","1","0.0","1199.634","","0.009","22765194","","14324","22056357","1","","results","0.05","0","8744317186","-983132819","708747","","","","0.362779","1452","","","minimize","606","0.0","2992","54","0.029","1531","1452","32"
"gecode","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","1.0712581556290388","77","","77","49","3","","0.01077","","","171","","","","0","3","results","","0","1522","","","","","","0.201879","","","","minimize","","","61","60","0.002762","57","","18"
"Huub_free","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.8873343169689178","","","51","6439","1","","0.350875","complete","","","0","","","460","","results","","0","1840954","","","8","35","7893","0.214176","728","728","5676","minimize","336","","775","786","0.013893","783","","28"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.4873840920627117","","","48","712","8","","0.052819","complete","","","0","","","0","","results","","0","87604","","","1","24","0","0.184101","508","508","5516","minimize","127","","531","638","0.01097","532","","11"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","5.530527936294675","","","105","89242","91","","4.73555","complete","","","0","","","0","","results","","0","14233747","","","8","97","0","0.257805","2432","2432","406327","minimize","608","","2497","3182","0.032619","2505","","11"
"gecode","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.49215971678495407","85","","69","13","2","","0.007727","","","82","","","","0","2","results","","0","823","","","","","","0.165247","","","","minimize","","","60","53","0.001831","57","","21"
"Huub_user","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.5892426278442144","","","52","2579","12","","0.125808","complete","","","0","","","0","","results","","0","384802","","","1","34","6014","0.209681","754","754","10240","minimize","241","","787","903","0.01362","788","","19"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","234.03807216323912","","","105","3216512","84","","231.93452","complete","","","0","","","0","","results","","0","492215735","","","8","49","0","0.509621","2432","2432","3961382","minimize","608","","2497","2995","0.032306","2505","","18"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","1.3108800984919071","","","43","17215","1","","0.730166","complete","","","0","","","0","","results","","0","3134130","","","8","35","0","0.234459","672","672","20051","minimize","336","","719","769","0.013278","727","","28"
"gecode","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","4.440549494698644","63","","33","861787","3","","3.60797","","","1723585","","","","0","3","results","","0","9786684","","","","","","0.179894","","","","minimize","","","29","29","0.003255","26","","15"
"gecode","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.3593128155916929","48","","48","22","1","","0.004306","","","67","","","","0","1","results","","0","482","","","","","","0.154608","","","","minimize","","","30","50","0.000571","26","","11"
"gecode","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","1.440122151747346","105","","105","58","1","","0.010357","","","154","","","","0","1","results","","0","3146","","","","","","0.269108","","","","minimize","","","79","108","0.011819","75","","18"
"Huub_user","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.42128271609544754","","","26","15","1","","0.003588","complete","","","0","","","0","","results","","0","791","","","3","18","45","0.174402","80","80","90","minimize","20","","89","110","0.005555","92","","6"
"chuffed","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1201.2380154337734","15566","111","112","11866435","1","0.0","1199.639","","0.039","19719420","","15453","11866435","1","","results","0.05","0","7491266808","-2145575578","7852888","","","","0.35787","2424","","","minimize","606","0.0","4936","74","0.038","2503","2424","18"
"Huub_user","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.501393498852849","","","61","796","2","","0.045957","complete","","","0","","","0","","results","","0","173446","","","4","45","3977","0.200023","720","720","1667","minimize","180","","751","888","0.01334","755","","15"
"Huub_free","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","1.0375221762806177","","","77","71","3","","0.017572","complete","","","0","","","0","","results","","0","48820","","","8","35","504","0.25024","1344","1344","4797","minimize","336","","1391","1663","0.020495","1399","","18"
"chuffed","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","22.067986411973834","15694","111","112","181377","2","0.0","21.257","","1.281","1045618","","15581","181377","2","","results","0.05","0","152697181","329759839","864081","","","","0.274259","2424","","","minimize","606","0.0","4936","83","0.039","2503","2424","11"
"Huub_free","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.4371582567691803","","","26","15","1","","0.00361","complete","","","0","","","0","","results","","0","791","","","3","18","45","0.171761","80","80","90","minimize","20","","89","110","0.005607","92","","6"
