"configuration","problem","model","data_file","status","time","intVariables","propagations","optTime","nogoods","flatBoolConstraints","objective","restarts","nodes","baseMem","initTime","peakMem","failures","method","paths","flatIntConstraints","evaluatedReifiedConstraints","unifiedVariables","randomSeed","flatBoolVars","peakDepth","boolVariables","solveTime","trailMem","evaluatedHalfReifiedConstraints","flatTime","propagators","run","intVars","extractedViews","oracleDecisions","blockType","variables","flatIntVars","userDecisions","objectiveBound","solutions","backjumps","nSolutions"
"gecode","","../filters/filter.mzn","../filters/dct_1_2.dzn","SATISFIED","1200.421465396881","","3142873083","","","","32","0","708768985","","0.003719","","354384469","minimize","0","75","","","","","58","","1199.83","","","0.16753","78","results_filter","","","","","137","73","","","1","","1"
"chuffed","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.4893441367894411","","24695","0.009","7","336","17","2","206","0.0","0.024","0.0","7","minimize","0","1405","1344","","-1919222860","1344","67","11581","0.009","0.04","","0.215497","2758","results_filter","83","","","","11666","84","","","","93","2"
"Huub_user","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.734916927292943","35","421339","","","336","28","0","","","0.013982","","2835","minimize","0","783","","0","","728","786","","0.112009","","728","0.215996","775","results_filter","","8","745","complete","","51","3044","","","","1"
"Huub_user","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.6410921849310398","32","60116","","","127","15","0","","","0.008704","","687","minimize","0","334","","0","","310","362","","0.028367","","310","0.195845","333","results_filter","","1","990","complete","","33","808","","","","3"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.6598931364715099","24","180022","","","127","15","0","","","0.008578","","2139","minimize","0","334","","0","","310","426","","0.071218","","310","0.1825","333","results_filter","","1","3716","complete","","33","0","","","","4"
"Huub_vsids","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.6368617005646229","18","7639","","","20","6","0","","","0.005125","","96","minimize","0","92","","0","","80","214","","0.015556","","80","0.179182","89","results_filter","","3","1207","complete","","26","0","","","","8"
"Huub_user","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.7029741629958153","45","327503","","","180","16","0","","","0.012218","","1275","minimize","0","635","","0","","600","721","","0.069444","","600","0.20269","631","results_filter","","4","2040","complete","","49","5590","","","","3"
"Huub_user","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","67.71139942668378","65","71278497","","","608","32","0","","","0.023677","","504830","minimize","0","1529","","0","","1456","1588","","66.431092","","1456","0.348316","1521","results_filter","","8","1527","complete","","73","511309","","","","1"
"Huub_user","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.7112456243485212","45","230890","","","180","11","0","","","0.013363","","1832","minimize","0","755","","0","","720","915","","0.078462","","720","0.198841","751","results_filter","","4","1728","complete","","61","5418","","","","2"
"chuffed","","../filters/filter.mzn","../filters/dct_1_2.dzn","SATISFIED","1200.5422823280096","","8275625588","0.011","20878358","606","32","1","21553110","0.0","0.031","0.0","20878358","minimize","0","1531","1452","","-1152808533","1452","54","14324","1199.748","0.05","","0.24859","2992","results_filter","80","","","","14406","80","","","","674660","1"
"gecode","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.38854374550282955","","1522","","","","18","0","171","","0.002644","","49","minimize","0","57","","","","","60","","0.010615","","","0.160966","61","results_filter","","","","","77","77","","","3","","3"
"Huub_free","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.9836998321115971","35","1840954","","","336","28","460","","","0.014238","","6439","minimize","0","783","","0","","728","786","","0.34432","","728","0.216728","775","results_filter","","8","5676","complete","","51","7893","","","","1"
"cp-sat","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.44491623155772686","","49","","","","6","","","","","","2","minimize","0","14","","","","","","22","0.005982","","","0.175628","","results_filter","","","","","","26","","6","","","1"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.8808369264006615","24","87604","","","127","11","0","","","0.010852","","712","minimize","0","532","","0","","508","638","","0.051483","","508","0.199104","531","results_filter","","1","5516","complete","","48","0","","","","8"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","5.274794073775411","97","14233747","","","608","11","0","","","0.034288","","89242","minimize","0","2505","","0","","2432","3182","","4.714118","","2432","0.256881","2497","results_filter","","8","406315","complete","","105","0","","","","91"
"gecode","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.3874144311994314","","823","","","","21","0","82","","0.000725","","13","minimize","0","57","","","","","53","","0.007613","","","0.15901","60","results_filter","","","","","85","69","","","2","","2"
"Huub_user","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.6174249053001404","34","384802","","","241","19","0","","","0.01369","","2579","minimize","0","788","","0","","754","903","","0.122771","","754","0.226339","787","results_filter","","1","10240","complete","","52","6014","","","","12"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","216.0574838668108","49","492215735","","","608","18","0","","","0.033874","","3216512","minimize","0","2505","","0","","2432","2995","","215.265082","","2432","0.271949","2497","results_filter","","8","3961377","complete","","105","0","","","","84"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","1.4273126665502787","35","3134130","","","336","28","0","","","0.013327","","17215","minimize","0","727","","0","","672","769","","0.72533","","672","0.231254","719","results_filter","","8","20051","complete","","43","0","","","","1"
"gecode","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","4.006911642849445","","9786684","","","","15","0","1723585","","0.000566","","861787","minimize","0","26","","","","","29","","3.621","","","0.162846","29","results_filter","","","","","63","33","","","3","","3"
"gecode","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.6082480922341347","","482","","","","11","0","67","","0.002062","","22","minimize","0","26","","","","","50","","0.004615","","","0.169314","30","results_filter","","","","","48","48","","","1","","1"
"gecode","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","0.48661845177412033","","3146","","","","18","0","154","","0.002027","","58","minimize","0","75","","","","","108","","0.006998","","","0.172998","79","results_filter","","","","","105","105","","","1","","1"
"Huub_user","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.6122222729027271","18","791","","","20","6","0","","","0.005112","","15","minimize","0","92","","0","","80","110","","0.003492","","80","0.178787","89","results_filter","","3","90","complete","","26","45","","","","1"
"chuffed","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1200.3748377282172","","6840548246","0.039","10824762","606","18","1","18005279","0.0","0.04","0.0","10824762","minimize","0","2503","2424","","-2027188263","2424","74","15453","1199.747","0.05","","0.250008","4936","results_filter","111","","","","15566","112","","","","7180418","1"
"Huub_user","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.743531845510006","45","173446","","","180","15","0","","","0.012972","","796","minimize","0","755","","0","","720","888","","0.044013","","720","0.224449","751","results_filter","","4","1668","complete","","61","3977","","","","2"
"Huub_free","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.49419422820210457","35","48820","","","336","18","0","","","0.02104","","71","minimize","0","1399","","0","","1344","1663","","0.017705","","1344","0.214108","1391","results_filter","","8","4798","complete","","77","504","","","","3"
"chuffed","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","23.783532259985805","","152697181","1.3","181377","606","11","2","1045618","0.0","0.039","0.0","181377","minimize","0","2503","2424","","333244106","2424","83","15581","23.222","0.05","","0.252741","4936","results_filter","111","","","","15694","112","","","","864081","2"
"Huub_free","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.6393483430147171","18","791","","","20","6","0","","","0.005146","","15","minimize","0","92","","0","","80","110","","0.003527","","80","0.195312","89","results_filter","","3","90","complete","","26","45","","","","1"
"Huub_free","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.6792023591697216","45","289428","","","180","16","2","","","0.011611","","1104","minimize","0","635","","0","","600","725","","0.064507","","600","0.200591","631","results_filter","","4","2989","complete","","49","4640","","","","4"
"gecode","","../filters/filter.mzn","../filters/dct_1_3.dzn","SATISFIED","1200.6509065404534","","3135290655","","","","32","0","707062003","","0.000939","","353530974","minimize","0","75","","","","","64","","1199.77","","","0.227115","78","results_filter","","","","","137","73","","","1","","1"
"cp-sat","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.7908978499472141","","453","","","","28","","","","","","4","minimize","0","57","","","","","","44","0.010072","","","0.167626","","results_filter","","","","","","51","","28","","","1"
"cp-sat","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","9.7433702647686","","3787786","","","","10","","","","","","138452","minimize","0","75","","","","","","179","9.27036","","","0.191757","","results_filter","","","","","","105","","10","","","2"
"gecode","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.4011691827327013","","552","","","","11","0","101","","0.000612","","17","minimize","0","37","","","","","46","","0.007239","","","0.158363","41","results_filter","","","","","61","61","","","2","","2"
"cp-sat","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","235.53955954499543","","88181021","","","","11","","","","","","3031283","minimize","0","75","","","","","","224","235.074","","","0.180859","","results_filter","","","","","","105","","11","","","2"
"chuffed","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.43971274234354496","","50620","0.009","146","127","10","1","1188","0.0","0.01","0.0","146","minimize","0","531","508","","-1074756525","508","38","5511","0.009","0.01","","0.175537","1041","results_filter","47","","","","5560","47","","","","1004","1"
"cp-sat","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.4082670770585537","","431","","","","17","","","","","","3","minimize","0","57","","","","","","72","0.014195","","","0.164987","","results_filter","","","","","","77","","17","","","2"
"Huub_free","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.6044489201158285","29","479309","","","180","18","214","","","0.011636","","3089","minimize","0","635","","0","","600","699","","0.126251","","600","0.216286","631","results_filter","","4","6858","complete","","49","5257","","","","7"
"Huub_user","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.5488203391432762","29","322603","","","180","18","0","","","0.011678","","3112","minimize","0","635","","0","","600","699","","0.108178","","600","0.198171","631","results_filter","","4","4633","complete","","49","5100","","","","7"
"cp-sat","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.42934256978332996","","416","","","","21","","","","","","0","minimize","0","57","","","","","","64","0.012423","","","0.172051","","results_filter","","","","","","69","","21","","","2"
