"configuration","problem","model","data_file","status","time","unifiedVariables","extractedViews","intVariables","objective","propagators","propagations","initTime","run","paths","userDecisions","method","flatTime","failures","peakDepth","flatIntVars","restarts","blockType","nSolutions","oracleDecisions","solveTime","flatIntConstraints"
"Huub_user","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.6569945029914379","0","8","35","28","49","32637","0.005868","results_filter_basic","0","3068","minimize","0.163024","2856","41","51","0","complete","1","0","0.253677","57"
"Huub_user","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.4204042460769415","0","1","32","15","25","5760","0.005297","results_filter_basic","0","823","minimize","0.16095","697","32","33","0","complete","3","0","0.037108","26"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.5037879468873143","0","1","24","15","25","13708","0.005319","results_filter_basic","0","0","minimize","0.174685","1986","118","33","0","complete","1","2260","0.091877","26"
"Huub_vsids","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.4542529690079391","0","3","18","6","11","427","0.004274","results_filter_basic","0","0","minimize","0.170872","9","114","26","0","complete","1","141","0.003755","14"
"Huub_user","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.5584880807437003","0","4","45","16","33","34215","0.005591","results_filter_basic","0","5375","minimize","0.17246","1330","42","49","0","complete","3","0","0.154388","37"
"Huub_user","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","100.94795285211876","0","8","65","32","67","5460683","0.007204","results_filter_basic","0","538260","minimize","0.16498","531964","60","73","0","complete","1","0","100.543552","75"
"Huub_user","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.7954714391380548","0","4","45","11","33","34862","0.005713","results_filter_basic","0","11330","minimize","0.163283","7133","48","61","0","complete","2","0","0.370889","37"
"Huub_free","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","1.0747371828183532","0","8","35","28","49","109872","0.005846","results_filter_basic","0","6441","minimize","0.175787","5500","46","51","250","complete","1","3458","0.658922","57"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.39351479709148407","0","1","24","11","25","656","0.005359","results_filter_basic","0","0","minimize","0.162524","33","111","48","0","complete","1","146","0.007201","26"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","124.3385101808235","0","8","97","11","67","13229431","0.007953","results_filter_basic","0","0","minimize","0.167379","1503629","737","105","0","complete","91","1652022","123.927671","75"
"Huub_user","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","52.39962147921324","0","1","34","19","35","10026075","0.005778","results_filter_basic","0","1247182","minimize","0.162522","206853","43","52","0","complete","15","0","52.011346","36"
