"configuration","problem","model","data_file","status","time","restarts","extractedViews","propagators","paths","flatIntConstraints","oracleDecisions","flatIntVars","nSolutions","solveTime","peakDepth","blockType","initTime","objective","unifiedVariables","run","failures","method","userDecisions","propagations","flatTime","intVariables"
"Huub_user","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.6118923872709274","0","8","49","0","57","0","51","1","0.196015","41","complete","0.006081","28","0","results_filter_seperate+merge","2413","minimize","2592","28815","0.168476","35"
"Huub_user","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.46712353359907866","0","1","25","0","26","0","33","3","0.032088","32","complete","0.005407","15","0","results_filter_seperate+merge","609","minimize","722","4897","0.166903","32"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.44068053225055337","0","1","25","0","26","380","33","1","0.019538","125","complete","0.005377","15","0","results_filter_seperate+merge","206","minimize","0","3398","0.168525","24"
"Huub_vsids","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.4098258940503001","0","3","11","0","14","140","26","1","0.003806","114","complete","0.00447","6","0","results_filter_seperate+merge","8","minimize","0","426","0.163772","18"
"Huub_user","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.4812550130300224","0","4","33","0","37","0","49","3","0.067154","41","complete","0.005603","16","0","results_filter_seperate+merge","424","minimize","2198","15475","0.169895","45"
"Huub_user","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","101.3003369611688","0","8","67","0","75","0","73","1","100.337095","60","complete","0.007397","32","0","results_filter_seperate+merge","535524","minimize","542795","5510296","0.181299","65"
"Huub_user","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.5629580523818731","0","4","33","0","37","0","61","2","0.144804","47","complete","0.005824","11","0","results_filter_seperate+merge","2157","minimize","4752","20080","0.170021","45"
"Huub_free","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.8752285861410201","171","8","49","0","57","3843","51","1","0.482254","41","complete","0.005864","28","0","results_filter_seperate+merge","4598","minimize","3286","83217","0.163132","35"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.395397559273988","0","1","25","0","26","126","48","1","0.00671","110","complete","0.005381","11","0","results_filter_seperate+merge","15","minimize","0","576","0.162995","24"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","3.175423990935087","0","8","67","0","75","26351","105","6","2.73842","217","complete","0.007591","11","0","results_filter_seperate+merge","22902","minimize","0","270364","0.179473","97"
"Huub_user","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","6.606539270840585","0","1","35","0","36","0","52","10","6.205284","44","complete","0.005804","19","0","results_filter_seperate+merge","30062","minimize","158840","1405645","0.165819","34"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","17.899343178607523","0","8","67","0","75","161774","105","8","16.918358","196","complete","0.00758","18","0","results_filter_seperate+merge","154850","minimize","0","2740204","0.180833","49"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.9587549292482436","0","8","49","0","57","5930","43","3","0.537373","94","complete","0.005844","28","0","results_filter_seperate+merge","5433","minimize","0","93342","0.170086","35"
"Huub_user","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.45843580830842257","0","3","11","0","14","0","26","1","0.003724","20","complete","0.004709","6","0","results_filter_seperate+merge","11","minimize","43","135","0.184469","18"
"Huub_user","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.578790717292577","0","4","33","0","37","0","61","3","0.136482","51","complete","0.005815","15","0","results_filter_seperate+merge","1397","minimize","6262","27085","0.184654","45"
"Huub_free","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.4353519300930202","1","8","49","0","57","185","77","1","0.017046","129","complete","0.006064","19","0","results_filter_seperate+merge","33","minimize","103","1698","0.171887","35"
"Huub_free","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.4582510096952319","0","3","11","0","14","0","26","1","0.003735","20","complete","0.004727","6","0","results_filter_seperate+merge","11","minimize","43","135","0.184532","18"
"Huub_free","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.479266504291445","1","4","33","0","37","150","49","4","0.059712","42","complete","0.005763","16","0","results_filter_seperate+merge","348","minimize","1565","12526","0.169432","45"
"Huub_free","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.6061590872704983","54","4","33","0","37","917","49","5","0.21844","112","complete","0.005798","18","0","results_filter_seperate+merge","3255","minimize","4933","42657","0.163109","29"
"Huub_user","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.6977031538262963","0","4","33","0","37","0","49","4","0.30745","37","complete","0.005643","18","0","results_filter_seperate+merge","3837","minimize","10881","78371","0.161848","29"
"Huub_free","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.5231210319325328","0","1","25","0","26","0","33","3","0.03213","32","complete","0.00532","15","0","results_filter_seperate+merge","609","minimize","722","4897","0.177249","32"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.9131374987773597","0","1","25","0","26","158","48","1","0.006366","122","complete","0.005133","11","0","results_filter_seperate+merge","16","minimize","0","641","0.177881","32"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_1_2.dzn","SATISFIED","1201.2828457611613","0","8","67","0","75","7488756","73","71","1199.704335","204","complete","0.006907","31","0","results_filter_seperate+merge","7270774","minimize","0","88289054","0.285059","49"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.4394640480168164","0","8","49","0","57","234","77","1","0.013557","162","complete","0.006068","17","0","results_filter_seperate+merge","3","minimize","0","1052","0.179983","69"
