"configuration","problem","model","data_file","status","time","flatTime","blockType","propagators","userDecisions","objective","paths","peakDepth","initTime","intVariables","restarts","nSolutions","oracleDecisions","flatIntVars","extractedViews","propagations","flatIntConstraints","failures","method","solveTime","run","unifiedVariables"
"Huub_user","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.708609014749527","0.182053","complete","49","2592","28","0","41","0.005953","35","0","1","0","51","8","28817","57","2413","minimize","0.19857","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.6995328348129988","0.222396","complete","25","722","15","0","32","0.006096","32","0","3","0","33","1","4897","26","609","minimize","0.031705","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.6927871918305755","0.410579","complete","25","0","15","0","125","0.005923","24","0","1","380","33","1","3398","26","206","minimize","0.019252","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.389814430847764","0.156237","complete","11","0","6","0","114","0.004444","18","0","1","140","26","3","426","14","8","minimize","0.003651","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.6182877928949893","0.159641","complete","33","2198","16","0","41","0.006504","45","0","3","0","49","4","15475","37","424","minimize","0.066363","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","97.97634355630726","0.50036","complete","67","537605","32","0","60","0.011405","65","0","1","0","73","8","5442533","75","531112","minimize","95.74852","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.8989859488792717","0.199019","complete","33","4786","11","0","47","0.006308","45","0","2","0","61","4","20193","37","2175","minimize","0.143096","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.9653181480243802","0.167657","complete","49","3710","28","0","41","0.005527","35","210","1","3779","51","8","87413","57","4644","minimize","0.499446","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.46319820964708924","0.175036","complete","25","0","11","0","110","0.005443","24","0","1","126","48","1","576","26","15","minimize","0.006137","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","3.000985183753073","0.225027","complete","67","0","11","0","217","0.008319","97","0","6","21373","105","8","205958","75","18501","minimize","2.202675","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","6.672785790171474","0.175055","complete","35","158840","19","0","44","0.005887","34","0","10","0","52","1","1405645","36","30062","minimize","6.217253","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","26.179640446789563","0.506758","complete","67","0","18","0","181","0.011544","49","0","2","215769","105","8","3577999","75","208467","minimize","23.957355","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","1.0124124297872186","0.213826","complete","49","0","28","0","102","0.005825","35","0","4","6338","43","8","98385","57","5772","minimize","0.578372","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.6659799315966666","0.2111","complete","11","43","6","0","20","0.005564","18","0","1","0","26","3","135","14","11","minimize","0.003953","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.861111112870276","0.294545","complete","33","6262","15","0","51","0.006592","45","0","3","0","61","4","27085","37","1397","minimize","0.135305","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.8766884803771973","0.238617","complete","49","103","19","0","129","0.006842","35","1","1","185","77","8","1698","57","33","minimize","0.016842","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.3775588730350137","0.157474","complete","11","43","6","0","20","0.005576","18","0","1","0","26","3","135","14","11","minimize","0.003762","results_filter_merge","0"
