"configuration","problem","model","data_file","status","time","unifiedVariables","userDecisions","initTime","flatIntConstraints","backjumps","flatBoolVars","intVars","optTime","propagations","peakMem","randomSeed","variables","peakDepth","trailMem","boolVariables","solutions","nSolutions","evaluatedReifiedConstraints","nogoods","solveTime","intVariables","objective","method","paths","objectiveBound","failures","flatTime","flatBoolConstraints","restarts","oracleDecisions","flatIntVars","evaluatedHalfReifiedConstraints","nodes","propagators","blockType","run","extractedViews","baseMem","error"
"gecode","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.17.dzn","SATISFIED","1201.2298211362213","","","0.14852","320","","118","","","9511369557","","","435","111","","","7","7","87","","1199.81","","2352","minimize","0","","5379514","0.209966","85","0","","189","39","10759242","94467","","results_carpet_new","","",""
"Huub_user_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.04.dzn","UNKNOWN","1206.4758783653378","0","","7.833217","325738","","245773","","","","","","","","","","","0","169687","","","44537","","minimize","0","","","9.99719","76177","","","151903","20","","81277","init","results_carpet_new","204783","",""
"Huub_user_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.05.dzn","UNKNOWN","1206.3135168375447","0","","8.486611","309206","","225713","","","","","","","","","","","0","156366","","","46927","","minimize","0","","","9.35023","69431","","","148741","14","","84320","init","results_carpet_new","181484","",""
"Huub_user_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.14.dzn","UNKNOWN","1208.9061021311209","0","","11.978562","506357","","399302","","","","","","","","","","","0","273928","","","62106","","minimize","0","","","16.1144","125481","","","227513","32","","129566","init","results_carpet_new","343270","",""
"chuffed","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.17.dzn","SATISFIED","1201.291446578689","","","0.097","4801","3120873","4630","225","618.903","5783443891","0.0","-845885318","74564","75","0.28","74337","","10","4651","4545188","1199.622","","2171","minimize","0","","4545188","0.374768","1253","10","","169","1","7666829","9341","","results_carpet_new","","0.0",""
"gecode","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.08.dzn","SATISFIED","1201.32945723366","","","0.140765","376","","116","","","543732899","","","435","97","","","31","31","93","","1199.82","","3954","minimize","0","","426823","0.198758","69","0","","226","31","854330","108737","","results_carpet_new","","",""
"cp-sat","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.12.dzn","OPTIMAL_SOLUTION","5.670004894956946","","","","101","","29","","","20202639","","","","","","1626","","33","29","","4.93261","","621","minimize","0","621","102517","0.174073","20","","","65","5","","","","results_carpet_new","","",""
"Huub_user_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.18.dzn","UNKNOWN","1202.6726979725063","0","","1.722614","94969","","61282","","","","","","","","","","","0","45244","","","11416","","minimize","0","","","2.95558","16196","","","48937","38","","33635","init","results_carpet_new","51465","",""
"gecode","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.19.dzn","SATISFIED","1200.6976954648271","","","0.047629","247","","61","","","15728246761","","","307","96","","","42","42","50","","1199.81","","2438","minimize","0","","3596306","0.194544","28","0","","166","11","7192944","38318","","results_carpet_new","","",""
"Huub_user_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.05.dzn","UNKNOWN","1206.6413210052997","0","","8.814735","309206","","225713","","","","","","","","","","","0","156366","","","46927","","minimize","0","","","9.58026","69431","","","148741","14","","84320","init","results_carpet_new","181484","",""
