"configuration","problem","model","data_file","status","time","propagators","flatBoolVars","evaluatedHalfReifiedConstraints","blockType","flatIntConstraints","initTime","userDecisions","evaluatedReifiedConstraints","nSolutions","solveTime","flatBoolConstraints","extractedViews","flatTime","peakDepth","method","restarts","oracleDecisions","propagations","unifiedVariables","failures","paths","run","objective","flatIntVars","intVariables"
"Huub_free_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.09.dzn","UNKNOWN","1204.072265979834","41175","74443","3478","init","118711","1.731785","","52989","0","","19008","58991","3.86347","","minimize","","","","0","","0","results_carpet","","61253","13179"
"Huub_vsid_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.02.dzn","UNKNOWN","1205.0299553247169","39104","63956","114","init","104804","2.768909","","45800","0","","18110","45800","2.97006","","minimize","","","","0","","0","results_carpet","","55441","18161"
"Huub_free_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.13.dzn","UNKNOWN","1205.3664079671726","81113","172680","948","init","222683","5.257837","","117680","0","","54379","143748","6.75804","","minimize","","","","0","","0","results_carpet","","100973","31949"
"Huub_vsid_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.20.dzn","SATISFIED","1203.3950654910877","54286","75238","4160","init","138846","2.437319","","55743","168","","16540","55862","4.09614","","minimize","","","","0","","0","results_carpet","6246","78022","14686"
"Huub_vsid_o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.14.dzn","UNKNOWN","1211.204757919535","131733","401546","2284","init","508600","18.291869","","273920","0","","126042","343262","16.703499","","minimize","","","","0","","0","results_carpet","","227513","62106"
"Huub_free_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.19.dzn","SATISFIED","1202.5185477863997","32968","46170","1635","init","88225","1.518975","","35186","343","","9859","35315","2.39072","","minimize","","","","0","","0","results_carpet","2493","50479","9312"
"Huub_vsid_o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.18.dzn","UNKNOWN","1203.8213332090527","37558","65242","4004","init","98928","1.814202","","45238","0","","17186","51459","3.19839","","minimize","","","","0","","0","results_carpet","","48937","11416"
"Huub_user_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.04.dzn","UNKNOWN","1205.9125088518485","82422","246973","1225","complete","326937","7.402078","67185600","169682","0","1183.88319","76477","204778","9.53399","139156","minimize","0","0","154265117","0","5423","0","results_carpet","","151903","44537"
"Huub_free_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.12.dzn","UNKNOWN","1202.8095458615571","39575","67662","225","init","101079","3.100809","","46692","0","","20845","46696","2.74157","","minimize","","","","0","","0","results_carpet","","51819","21256"
"Huub_user_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.05.dzn","UNKNOWN","1207.43901395984","85281","226725","1031","init","310217","8.271658","","156361","0","","69684","181479","9.52111","","minimize","","","","0","","0","results_carpet","","148741","46927"
"Huub_free_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.03.dzn","UNKNOWN","1204.6080811265856","55926","131429","428","init","191572","4.129714","","92057","0","","39113","102874","5.50487","","minimize","","","","0","","0","results_carpet","","95275","29397"
"Huub_free_o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.14.dzn","UNKNOWN","1211.0183756556362","131733","401546","2284","init","508600","18.584318","","273920","0","","126042","343262","16.643799","","minimize","","","","0","","0","results_carpet","","227513","62106"
"Huub_user_s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.05.dzn","UNKNOWN","1205.687272356823","85281","226725","1031","init","310217","8.056037","","156361","0","","69684","181479","8.87184","","minimize","","","","0","","0","results_carpet","","148741","46927"
"Huub_user_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.14.dzn","UNKNOWN","1211.2656145617366","131733","401546","2284","init","508600","12.82079","","273920","0","","126042","343262","16.648","","minimize","","","","0","","0","results_carpet","","227513","62106"
"Huub_free_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.06.dzn","UNKNOWN","1203.000161509961","38852","60917","1870","init","107170","1.933487","","44960","0","","14622","46303","3.39599","","minimize","","","","0","","0","results_carpet","","59252","13238"
"Huub_vsid_o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.17.dzn","UNKNOWN","1204.3444963283837","37430","79261","4559","init","117453","1.994456","","54874","0","","21155","63972","3.69297","","minimize","","","","0","","0","results_carpet","","57134","11765"
"Huub_user_s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.13.dzn","UNKNOWN","1205.1926128100604","81113","172680","948","init","222683","5.209333","","117680","0","","54379","143748","6.52013","","minimize","","","","0","","0","results_carpet","","100973","31949"
"Huub_user_o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.12.dzn","UNKNOWN","1202.9757360909134","39575","67662","225","init","101079","3.150273","","46692","0","","20845","46696","2.83356","","minimize","","","","0","","0","results_carpet","","51819","21256"
"Huub_free_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.07.dzn","SATISFIED","1203.2227820903063","26843","38481","1532","init","70595","0.947128","","29066","41","","8371","31126","2.1386","","minimize","","","","0","","0","results_carpet","3733","39090","7348"
"Huub_user_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.18.dzn","UNKNOWN","1204.216391628608","37558","65242","4004","init","98928","1.81548","","45238","0","","17186","51459","3.20795","","minimize","","","","0","","0","results_carpet","","48937","11416"
"Huub_vsid_s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.02.dzn","UNKNOWN","1203.4175575766712","39104","63956","114","init","104804","2.856148","","45800","0","","18110","45800","2.70992","","minimize","","","","0","","0","results_carpet","","55441","18161"
"Huub_free_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.11.dzn","UNKNOWN","1202.9986414471641","44826","67230","149","init","109747","2.794119","","48118","0","","19034","48122","2.76112","","minimize","","","","0","","0","results_carpet","","58256","19568"
"Huub_free_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.04.dzn","UNKNOWN","1206.7479190556332","82422","246973","1225","init","326937","7.545876","","169682","0","","76477","204778","10.2663","","minimize","","","","0","","0","results_carpet","","151903","44537"
