"configuration","problem","model","data_file","status","time","randomSeed","flatBoolConstraints","optTime","trailMem","evaluatedReifiedConstraints","intVariables","failures","oracleDecisions","nogoods","solutions","nodes","peakDepth","flatTime","flatIntVars","objective","userDecisions","evaluatedHalfReifiedConstraints","initTime","propagations","solveTime","variables","intVars","backjumps","propagators","extractedViews","blockType","flatIntConstraints","objectiveBound","nSolutions","unifiedVariables","flatBoolVars","paths","baseMem","run","peakMem","boolVariables","method","restarts"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","UNKNOWN","1200.9352933000773","","4950","","","","","1620988","","","0","3242090","157","1.65939","605","","","29700","0.264755","3298405116","1198.34","30305","","","35048","","","30098","","0","","29700","0","","results_container_new","","","minimize","0"
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.3292102729902","","960","","","2688","605","146626","312248","","","","3511","0.158835","1205","12636","0","","0.044963","12547504","1199.853054","","","","2118","600","complete","1758","","40","0","1728","0","","results_container_new","","","minimize","0"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.3152928408235","","1200","","","3360","755","65672","257047","","","","4718","0.179328","1505","18648","0","","0.063886","6807827","1199.772845","","","","2646","750","complete","2196","","39","0","2160","0","","results_container_new","","","minimize","0"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.4350200621411","","960","","","2688","605","126756","191403","","","","1321","0.162278","1205","10976","0","","0.04189","9159919","1199.921578","","","","2118","600","complete","1758","","28","0","1728","0","","results_container_new","","","minimize","0"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1201.2095099417493","406766617","5415","1104.989","0.63","30327","","2310951","","2310951","","4000888","598","1.6936","899","4320","","","0.414","5248885202","1198.303","80395","899","1662717","61089","","","30740","","64","","30234","0","0.0","results_container_new","0.0","79494","minimize","64"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","UNKNOWN","1201.2381032695994","","7140","","","","","893968","","","0","1788124","238","2.45243","725","","","42840","0.378543","2822282211","1197.55","43565","","","50459","","","43319","","0","","42840","0","","results_container_new","","","minimize","0"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.2916262634099","","960","","","2688","605","98897","163147","","","","2944","0.171855","1205","11088","0","","0.041998","8952369","1199.910341","","","","2118","600","complete","1758","","33","0","1728","0","","results_container_new","","","minimize","0"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.218542110175","","1200","","","3360","755","65586","289038","","","","4608","0.17954","1505","18144","0","","0.060797","5160369","1199.804589","","","","2646","750","complete","2196","","45","0","2160","0","","results_container_new","","","minimize","0"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1203.9779076520354","","32325","","","3360","755","947102","6613312","","","","62625","10.2798","1505","15120","0","186701","2.250389","2621254707","1187.677964","","","","189346","750","complete","188896","","71","0","188861","0","","results_container_new","","","minimize","0"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","UNKNOWN","1203.2422772189602","","19900","","","","","","","","","","","6.77161","1205","","","119400","","","","","","","","","","120197","","0","","119400","0","","results_container_new","","","minimize",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","UNKNOWN","1203.2096378868446","","19900","","","","","","","","","","","6.8954","1205","","","119400","","","","","","","","","","120197","","0","","119400","0","","results_container_new","","","minimize",""
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1202.5796057293192","","20860","","","2688","605","1110189","4955755","","","","42602","6.46514","1205","6664","0","119378","1.454448","1878893581","1192.212487","","","","121495","600","complete","121135","","63","0","121106","0","","results_container_new","","","minimize","0"
