"configuration","problem","model","data_file","status","time","propagators","failures","intVariables","userDecisions","method","solutions","objectiveBound","flatTime","variables","optTime","trailMem","initTime","flatIntVars","propagations","randomSeed","oracleDecisions","flatBoolConstraints","evaluatedHalfReifiedConstraints","intVars","restarts","nogoods","paths","unifiedVariables","flatBoolVars","peakDepth","run","backjumps","baseMem","flatIntConstraints","nSolutions","extractedViews","blockType","objective","nodes","evaluatedReifiedConstraints","solveTime","boolVariables","peakMem"
"Huub_user_decomp","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.5416699023917317","631","3058","29","5364","minimize","","","0.202398","","","","0.012123","49","327254","","3338","180","600","","0","","0","0","600","705","results_filter_new","","","635","5","4","complete","18","","","0.086924","",""
"gecode","","../filters/filter.mzn","../filters/dct_1_2.dzn","SATISFIED","1200.653623888269","78","344481283","","","minimize","1","","0.189643","137","","","0.054802","73","3052147507","","","","","","0","","0","","","58","results_filter_new","","","75","1","","","32","688962614","","1199.81","",""
"chuffed","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.7025018287822604","2758","7","","","minimize","","","0.238545","11666","0.009","0.04","0.026","84","24695","651724868","","336","","83","2","7","0","","1344","67","results_filter_new","93","0.0","1405","2","","","17","206","1344","0.009","11581","0.0"
"Huub_user_diffn","","../filters/filter.mzn","../filters/dct_2_3.dzn","SATISFIED","1200.7042093621567","67","7065836","65","10294818","minimize","","","0.166402","","","","0.008232","105","52723704","","0","","","","0","","0","0","","76","results_filter_new","","","75","2","8","complete","16","","","1199.829506","",""
"Huub_user_m+o","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.242393469438","67","3437768","97","12880885","minimize","","","0.178237","","","","0.008932","105","50711099","","0","","","","0","","0","0","","83","results_filter_new","","","75","2","8","complete","14","","","1199.814449","",""
"Huub_user_s+o","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.6172781810164452","49","2738","35","2955","minimize","","","0.168533","","","","0.006026","51","24744","","0","","","","0","","0","0","","40","results_filter_new","","","57","1","8","complete","28","","","0.216168","",""
"Huub_user_diffn","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.6190017899498343","33","1333","45","5504","minimize","","","0.179015","","","","0.006511","49","28585","","0","","","","0","","0","0","","42","results_filter_new","","","37","3","4","complete","16","","","0.134595","",""
"Huub_user_basic","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1200.4642322715372","67","6224211","49","7822161","minimize","","","0.168303","","","","0.007568","105","48629357","","0","","","","0","","0","0","","75","results_filter_new","","","75","4","8","complete","18","","","1199.83652","",""
"chuffed","","../filters/filter.mzn","../filters/dct_1_2.dzn","SATISFIED","1200.703134409152","2992","19064790","","","minimize","","","0.28285","14406","0.012","0.05","0.032","80","7555094288","272220050","","606","","80","1","19064790","0","","1452","54","results_filter_new","610838","0.0","1531","1","","","32","19675708","1452","1199.713","14324","0.0"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.567946578376","67","3699566","97","13636811","minimize","","","0.171807","","","","0.007201","105","52781761","","0","","","","0","","0","0","","83","results_filter_new","","","75","2","8","complete","14","","","1199.819966","",""
"gecode","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.8588176537305117","61","49","","","minimize","3","","0.231425","77","","","0.013608","77","1522","","","","","","0","","0","","","60","results_filter_new","","","57","3","","","18","171","","0.018789","",""
"cp-sat","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.41416526585817337","","2","","","minimize","","6","0.171485","","","","","26","49","","","","","","","","0","","","","results_filter_new","","","14","1","","","6","","","0.00624","22",""
"Huub_user_m+s","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.43139472883194685","25","621","24","724","minimize","","","0.167562","","","","0.00552","33","6016","","0","","","","0","","0","0","","27","results_filter_new","","","26","3","1","complete","15","","","0.030008","",""
