"configuration","problem","model","data_file","status","time","propagations","blockType","objective","nSolutions","peakDepth","paths","flatBoolConstraints","flatIntVars","flatTime","restarts","run","method","failures","unifiedVariables","evaluatedReifiedConstraints","extractedViews","flatIntConstraints","initTime","propagators","intVariables","evaluatedHalfReifiedConstraints","oracleDecisions","solveTime","userDecisions","flatBoolVars"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.617334461771","5428553","complete","8820","25","3946","0","960","1205","0.230084","326","results_free_container","minimize","17401","0","2688","600","1758","0.04113","2118","605","","255223","1199.744495","0","1728"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.614378024824","21056810","complete","4752","29","1823","0","570","725","0.191759","1805","results_free_container","minimize","150145","0","1596","360","1050","0.030241","1260","365","","563879","1199.783497","0","1026"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.1679980251938","22841166","complete","4950","50","2100","0","620","785","0.127725","2026","results_free_container","minimize","165236","0","1736","390","1140","0.027079","1370","395","","651720","1199.86049","0","1116"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.5636708410457","3293113","complete","21413","36","7571","0","1210","1505","0.226044","167","results_free_container","minimize","6481","0","3388","750","2208","0.062702","2668","755","","268806","1199.741715","0","2178"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.5337421400473","5425996","complete","13572","48","5251","0","960","1205","0.206411","314","results_free_container","minimize","17372","0","2688","600","1758","0.047055","2118","605","","313405","1199.751472","0","1728"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.6142316907644","9335386","complete","7840","28","3191","0","960","1205","0.228201","482","results_free_container","minimize","58215","0","2688","600","1758","0.040862","2118","605","","308229","1199.739616","0","1728"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.3116001235321","2639848","complete","26730","28","6991","0","1210","1505","0.183241","146","results_free_container","minimize","7188","0","3388","750","2208","0.057796","2668","755","","199267","1199.881428","0","2178"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1204.2175949430093","5178393256","complete","16896","57","247767","0","32335","1505","10.3516","5211","results_free_container","minimize","202753","0","3388","750","188957","2.23855","189417","755","186750","17157745","1187.603522","0","188928"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.6201724261045","20781027","complete","4784","25","1928","0","570","725","0.196808","2199","results_free_container","minimize","163886","0","1596","360","1050","0.031703","1260","365","","588109","1199.791091","0","1026"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.6431749770418","16018789","complete","4968","31","1945","0","570","725","0.194588","1630","results_free_container","minimize","140401","0","1596","360","1050","0.02929","1260","365","","553232","1199.818028","0","1026"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.4964637840167","6059940","complete","7560","50","7942","0","960","1205","0.182799","406","results_free_container","minimize","20438","0","2688","600","1758","0.042767","2118","605","","332220","1199.767147","0","1728"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.5518996398896","34128150","complete","5130","37","1475","0","470","605","0.192205","3154","results_free_container","minimize","307917","0","1316","300","870","0.026204","1040","305","","951843","1199.792048","0","846"
