"configuration","problem","model","data_file","status","time","solveTime","objective","flatIntVars","userDecisions","paths","initTime","peakDepth","oracleDecisions","flatIntConstraints","restarts","flatBoolVars","nSolutions","propagations","run","propagators","failures","method","flatTime","intVariables","evaluatedHalfReifiedConstraints","unifiedVariables","flatBoolConstraints","extractedViews","blockType"
"Huub_free_m+s","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.5620118426159024","0.118603","18","52","1189","0","0.008293","168","1528","36","9","","16","14400","results_free_filter","35","386","minimize","0.171724","51","","0","","1","complete"
"Huub_free_diffn","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.7424445413053036","0.003589","4","26","32","0","0.005445","20","0","14","0","","1","95","results_free_filter","11","7","minimize","0.202962","18","","0","","3","complete"
"Huub_free_s+o","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","105.00041165668517","104.573087","16","105","1049676","0","0.007153","183","517193","75","20713","","3","10493251","results_free_filter","67","736708","minimize","0.179231","65","","0","","8","complete"
"Huub_free_m+s","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","1.2329771798104048","0.012743","21","69","110","0","0.005787","54","0","57","0","","2","885","results_free_filter","49","5","minimize","0.269623","35","","0","","8","complete"
"Huub_free_basic","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.8471562061458826","0.425899","18","49","12417","0","0.005734","37","2641","37","151","","4","99789","results_free_filter","33","5528","minimize","0.174774","29","","0","","4","complete"
"Huub_free_diffn","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","146.2523980010301","145.147862","32","73","839271","0","0.007941","108","467732","75","30615","","1","14209353","results_free_filter","67","600807","minimize","0.174539","65","","0","","8","complete"
"Huub_free_basic","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.975784419104457","0.998211","34","33","11322","0","0.005313","40","9792","37","373","","1","200479","results_free_filter","33","16189","minimize","0.167059","29","","0","","4","complete"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.4879334531724453","0.003738","6","26","44","0","0.004276","20","0","14","0","","1","135","results_free_filter","11","14","minimize","0.165907","18","","0","","3","complete"
"Huub_free_m+s","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.4896079786121845","0.104728","19","52","2181","0","0.006717","119","682","36","7","","10","17352","results_free_filter","35","389","minimize","0.159113","34","","0","","1","complete"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.7868760181590915","0.404391","18","49","11458","0","0.005725","114","2316","37","107","","3","85465","results_free_filter","33","5194","minimize","0.159031","29","","0","","4","complete"
"Huub_free_diffn","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.5849943207576871","0.01723","17","77","180","0","0.00852","67","0","57","0","","2","772","results_free_filter","49","19","minimize","0.172302","69","","0","","8","complete"
"Huub_free_basic","","../filters/filter.mzn","../filters/dct_3_3.dzn","OPTIMAL_SOLUTION","968.2470308020711","967.719648","14","105","9469270","0","0.008065","201","4095127","75","128606","","2","66211839","results_free_filter","67","4785756","minimize","0.169791","97","","0","","8","complete"
"Huub_free_m+s","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.9422257635742426","0.034842","15","33","824","0","0.005046","33","274","26","40","","3","8298","results_free_filter","25","746","minimize","0.207506","32","","0","","1","complete"
"Huub_free_m+o","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","1.4379031145945191","0.499202","28","51","5316","0","0.005939","40","3570","57","248","","1","88051","results_free_filter","49","4925","minimize","0.204297","35","","0","","8","complete"
"Huub_free_diffn","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.5995998810976744","0.069695","18","52","1137","0","0.009092","127","562","36","5","","6","9147","results_free_filter","35","322","minimize","0.170193","51","","0","","1","complete"
"Huub_free_basic","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.4262445289641619","0.003535","4","26","32","0","0.004655","20","0","14","0","","1","95","results_free_filter","11","7","minimize","0.175716","18","","0","","3","complete"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.7253196695819497","0.039915","15","33","798","0","0.004917","33","224","26","36","","3","7922","results_free_filter","25","717","minimize","0.189648","32","","0","","1","complete"
"Huub_free_s+o","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.3455329751596","1199.820447","14","105","12263089","0","0.008666","181","4301151","75","155480","","2","76147985","results_free_filter","67","5116484","minimize","0.169582","97","","0","","8","complete"
"Huub_free_decomp","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","1.0504371663555503","0.022515","15","33","766","0","0.008816","362","1101","334","12","310","3","65739","results_free_filter","333","671","minimize","0.17936","32","310","0","127","1","complete"
"Huub_free_m+s","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","165.26075749099255","164.765904","32","73","865695","0","0.007384","123","607633","75","27955","","1","15344144","results_free_filter","67","730500","minimize","0.178945","65","","0","","8","complete"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","153.0978499483317","151.974694","32","73","845133","0","0.007264","147","489083","75","27783","","1","14459314","results_free_filter","67","634836","minimize","0.165","65","","0","","8","complete"
