"configuration","problem","model","data_file","status","time","extractedViews","flatIntVars","propagators","method","evaluatedReifiedConstraints","userDecisions","objective","eliminatedImplications","evaluatedHalfReifiedConstraints","blockType","solveTime","nSolutions","restarts","intVariables","failures","unifiedVariables","run","flatBoolConstraints","flatTime","flatIntConstraints","initTime","flatBoolVars","peakDepth","oracleDecisions","paths","propagations"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","SATISFIED","1201.0297410190105","15750","13650","30098","minimize","45150","0","S(21)","2250","","complete","1196.782523","1","303","13647","38218","0","results_free_prod_shelf","21750","2.61931","35349","0.625759","36900","29544","3981698","0","88160892"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","SATISFIED","1200.5528163099661","7000","6100","13063","minimize","19600","0","S(14)","1000","","complete","1198.681309","7","47","6097","8635","0","results_free_prod_shelf","9500","1.0681","15564","0.268155","16100","14432","9809097","0","143207372"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1202.1259412718937","35000","30200","68144","minimize","102200","0","","5000","","complete","1193.418953","0","407","30197","34706","0","results_free_prod_shelf","49000","5.27841","79145","1.402617","83200","61567","2566692","0","82762129"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","SATISFIED","1200.5160661768168","7000","6100","13726","minimize","20440","0","S(18)","1000","","complete","1198.712913","3","36","6097","435018","0","results_free_prod_shelf","9800","1.07981","15927","0.245502","16640","12571","8206500","0","476031083"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","UNKNOWN","1202.3881840547547","35000","30200","64838","minimize","98000","0","","5000","","complete","1193.147454","0","25","30197","1591","0","results_free_prod_shelf","47500","5.34804","77339","1.680983","80500","43982","1091007","0","17364684"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","357.96990690380335","7000","6100","13063","minimize","19600","0","S(16)","1000","","complete","356.08824","5","69","6097","30875","0","results_free_prod_shelf","9500","1.024899","15564","0.263078","16100","14729","2710884","0","36506037"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","892.1614833790809","35000","30200","68144","minimize","102200","0","S(30)","5000","","complete","883.687698","12","1200","30197","71916","0","results_free_prod_shelf","49000","5.26579","79145","1.224052","83200","65934","2097299","0","62227533"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","UNKNOWN","1200.9894003346562","15750","13650","30098","minimize","45150","0","","2250","","complete","1197.029295","0","57","13647","179763","0","results_free_prod_shelf","21750","2.40915","35349","0.612236","36900","29498","3766545","0","249611302"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","261.9541326360777","7000","6100","13063","minimize","19600","0","S(16)","1000","","complete","260.206328","5","143","6097","11208","0","results_free_prod_shelf","9500","1.02213","15564","0.265354","16100","14775","1421927","0","24047982"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","23.79858550056815","7000","6100","160043","minimize","19600","0","S(15)","1000","147000","complete","4.92449","2","11","6097","1687","0","results_free_prod_shelf","34000","12.3072","162544","2.339505","163100","291410","744729","0","30596390"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1202.1256415974349","35000","30200","68144","minimize","102200","0","","5000","","complete","1193.381498","0","252","30197","55284","0","results_free_prod_shelf","49000","5.2919","79145","1.443249","83200","55442","2901266","0","72641927"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","SATISFIED","1202.045593732968","35000","30200","68144","minimize","102200","0","S(50)","5000","","complete","1193.444032","1","50","30197","6752","0","results_free_prod_shelf","49000","5.29429","79145","1.369415","83200","64766","1304369","0","30831863"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","184.95566163305193","7000","6100","13284","minimize","19880","0","S(20)","1000","","complete","183.149618","1","4745","6097","155913","0","results_free_prod_shelf","9600","1.04779","15685","0.229827","16280","10714","1191699","0","47778806"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","7.803994691930711","1680","1488","3107","minimize","4620","0","S(5)","240","","complete","7.080035","4","350","1485","25776","0","results_free_prod_shelf","2250","0.338109","3738","0.063065","3810","3136","146675","0","2942239"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","SATISFIED","1202.0661605624482","35000","30200","68144","minimize","102200","0","S(34)","5000","","complete","1193.663359","7","739","30197","21770","0","results_free_prod_shelf","49000","5.20061","79145","1.194204","83200","52367","1676823","0","40833034"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","UNKNOWN","1201.0312010375783","15750","13650","28443","minimize","43050","0","","2250","","complete","1197.205514","0","6","13647","122545","0","results_free_prod_shelf","21000","2.15727","34444","0.712375","35550","26168","4804199","0","98949235"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","13.296288510784507","1680","1488","3107","minimize","4620","0","S(5)","240","","complete","12.579727","3","492","1485","27013","0","results_free_prod_shelf","2250","0.338796","3738","0.062075","3810","3023","253394","0","4429718"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","SATISFIED","1200.3682753294706","1750","1550","3250","minimize","4830","0","S(6)","250","","complete","1199.780686","4","31","1547","1777739","0","results_free_prod_shelf","2350","0.311427","3901","0.058789","3980","3315","31512960","0","508786654"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","SATISFIED","1200.5387698616832","7000","6100","11958","minimize","18200","0","S(7)","1000","","complete","1198.60539","6","36","6097","99298","0","results_free_prod_shelf","9000","1.08311","14959","0.335272","15200","26045","9136352","0","94298459"
