"configuration","problem","model","data_file","status","time","peakDepth","propagations","solveTime","extractedViews","method","flatBoolVars","flatIntVars","propagators","paths","run","eliminatedImplications","flatBoolConstraints","nSolutions","flatIntConstraints","userDecisions","intVariables","evaluatedHalfReifiedConstraints","restarts","blockType","unifiedVariables","evaluatedReifiedConstraints","failures","flatTime","oracleDecisions","initTime"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.3910322124138474","62","161496","0.510188","12502","satisfy","11780","4543","387","0","results_free_rect","38","3762","1","12901","2606","91","76","27","complete","0","8056","3446","0.452237","1104","0.123985"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","288.11281819920987","2122","53441279","285.744843","38019","satisfy","36453","13406","698","0","results_free_rect","58","11745","1","38729","660123","147","116","17157","complete","0","24766","1114334","1.26661","637891","0.382499"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","12.173454388044775","1191","2655165","10.394335","26425","satisfy","25175","9408","578","0","results_free_rect","50","8075","1","27015","37527","127","100","1419","complete","0","17150","51720","0.948184","27507","0.264203"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.731929725036025","4420","189476","0.562674","14620","satisfy","13820","5283","421","0","results_free_rect","40","4420","1","15053","2444","97","80","27","complete","0","9440","3845","0.570989","10506","0.142274"
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8020924376323819","2381","69152","0.156496","8032","satisfy","7520","2959","306","0","results_free_rect","32","2400","1","8350","1305","73","64","86","complete","0","5152","1606","0.325371","2931","0.081224"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.6717393575236201","4420","191815","0.548864","14620","satisfy","13820","5283","421","0","results_free_rect","40","4420","1","15053","2444","97","80","27","complete","0","9440","3880","0.547673","10545","0.145876"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","3.9443706003949046","986","2859528","2.575977","19803","satisfy","19849","7086","1501","0","results_free_rect","46","6302","1","21316","10393","111","1104","465","complete","0","12834","17240","0.735379","11337","0.203783"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","2.7590597616508603","369","612029","1.861303","11016","satisfy","10368","4015","362","0","results_free_rect","36","3312","1","11390","8052","85","72","283","complete","0","7092","14564","0.416748","8165","0.111079"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","28.247022483497858","114","6968071","27.065097","16380","satisfy","15498","5905","447","0","results_free_rect","42","4956","1","16839","121115","103","84","4181","complete","0","10584","154559","0.576116","62971","0.159135"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","50.46339020691812","1047","11349172","48.62701","26425","satisfy","25175","9408","578","0","results_free_rect","50","8075","1","27015","148844","127","100","6669","complete","0","17150","221111","0.950352","134947","0.264401"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.4823458977043629","69","167109","0.52053","13140","satisfy","12420","4759","393","0","results_free_rect","40","3980","1","13545","2606","93","80","27","complete","0","8480","3492","0.496269","1171","0.130992"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.6868175333365798","1955","64404","0.126904","6615","satisfy","6165","2458","276","0","results_free_rect","30","1965","1","6903","1086","67","60","79","complete","0","4230","1337","0.273947","2433","0.066049"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","65.8562775189057","738","15223401","63.795137","30004","satisfy","28652","10643","620","0","results_free_rect","52","9204","1","30636","169299","133","104","7133","complete","0","19500","226801","1.07676","145262","0.300561"
