"configuration","problem","model","data_file","status","time","propagators","error","restarts","flatBoolConstraints","unifiedVariables","trailMem","variables","userDecisions","run","eliminatedImplications","paths","propagations","baseMem","flatIntVars","flatTime","randomSeed","backjumps","peakDepth","extractedViews","intVariables","objective","evaluatedReifiedConstraints","flatBoolVars","optTime","method","peakMem","solveTime","nodes","nogoods","evaluatedHalfReifiedConstraints","objectiveBound","boolVariables","failures","blockType","nSolutions","oracleDecisions","intVars","solutions","initTime","flatIntConstraints"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","UNKNOWN","1204.3049118537456","","","","29500","","","","","results_prod_shelf_new","1000","0","","","6100","12.9424","","","","","","","7000","155000","","minimize","","","","","147000","","","","","0","","","","","157909"
"Huub_user_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","769.4203721024096","68144","","0","49000","0","","","0","results_prod_shelf_new","5000","0","48385365","","30200","5.33277","","","14175","35000","30197","S(30)","102200","83200","","minimize","","760.876853","","","","","","77642","complete","11","1857473","","","1.204475","79145"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","2.856495749205351","3028","","0","2250","0","","","0","results_prod_shelf_new","250","0","774966","","1550","0.309659","","","3486","1750","1547","S(9)","4550","3800","","minimize","","2.287031","","","","","","6576","complete","2","46877","","","0.055717","3779"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","2.652091532945633","2917","","0","2200","0","","","0","results_prod_shelf_new","250","0","493317","","1550","0.323836","","","3780","1750","1547","S(10)","4410","3710","","minimize","","1.768785","","","","","","2529","complete","1","47513","","","0.061967","3718"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","65.61773193534464","304291","","15","33500","","0.63","637580","","results_prod_shelf_new","1000","0","200299797","0.0","6099","13.1107","2066483828","648292","7554","","","6","159600","159800","46.047","minimize","0.0","46.199","760396","10640","","","631479","10640","","15","","6099","","2.941","161090"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","ERROR","223.79505202639848","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","272500","","","","","results_prod_shelf_new","5000","0","","","30200","133.472","","","","","","","35000","1525000","","minimize","","","","","1485000","","","","","0","","","","","1539954"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","UNKNOWN","1231.7594706034288","","","","295000","","","","","results_prod_shelf_new","5000","0","","","30200","134.166","","","","","","","66500","1552000","","minimize","","","","","1485000","","","","","0","","","","","1557789"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","1.0640981197357178","3250","","0","2350","0","","","0","results_prod_shelf_new","250","0","237840","","1550","0.302061","","","2983","1750","1547","S(6)","4830","3980","","minimize","","0.519046","","","","","","1868","complete","5","21172","","","0.056219","3901"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","UNKNOWN","1204.8276411974803","","","","29500","","","","","results_prod_shelf_new","1000","0","","","6100","12.6977","","","","","","","7000","155000","","minimize","","","","","147000","","","","","0","","","","","158004"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","3.454950080253184","3028","","0","2250","0","","","0","results_prod_shelf_new","250","0","1007311","","1550","0.309564","","","3377","1750","1547","S(9)","4550","3800","","minimize","","2.881241","","","","","","9196","complete","2","66101","","","0.058172","3779"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","UNKNOWN","1200.6953818788752","24265","","0","4250","","","21550","","results_prod_shelf_new","250","0","2249950633","","1550","1.49132","","","394","","","","1750","20000","","minimize","","1198.51","6370128","","18000","","","3184885","","0","","","0","0.185348","20772"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","UNKNOWN","1200.642181663774","23367","","0","4250","","","21550","","results_prod_shelf_new","250","0","1842594187","","1550","1.57704","","","488","","","","1750","20000","","minimize","","1198.42","2497011","","18000","","","1248270","","0","","","0","0.202122","20745"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","UNKNOWN","1202.0604609018192","68144","","0","49000","0","","","0","results_prod_shelf_new","5000","0","199311257","","30200","5.08647","","","3188","35000","30197","","102200","83200","","minimize","","1193.766999","","","","","","6421","complete","0","2577222","","","1.203414","79145"
