"configuration","problem","model","data_file","status","time","nodes","evaluatedHalfReifiedConstraints","randomSeed","nSolutions","blockType","failures","intVars","peakDepth","variables","restarts","boolVariables","backjumps","oracleDecisions","nogoods","unifiedVariables","solveTime","flatBoolVars","propagators","flatBoolConstraints","flatTime","flatIntConstraints","baseMem","solutions","paths","flatIntVars","run","peakMem","propagations","objective","objectiveBound","extractedViews","userDecisions","initTime","trailMem","evaluatedReifiedConstraints","eliminatedImplications","intVariables","method"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","3.6439468655735254","","684","","1","complete","22025","","84","","0","","","65","","0","2.57883","10980","971","3465","0.45366","12001","","","0","4015","results_rect_new","","2383479","","","11016","22107","0.122598","","7092","36","85","satisfy"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","UNKNOWN","1200.3824789477512","63594100","176","","0","","31796929","","57","295","0","","","","","","1199.9","176","395","132","0.103148","261","","0","0","115","results_rect_new","","877770761","","","","","0.01996","","","88","","satisfy"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","903.1078860331327","5590276","92","-768510090","1","","5398849","145","27","20306","0","20159","191405","","5398849","","902.662","1242","2333","437","0.134254","1284","0.0","","0","121","results_rect_new","0.0","2540067808","","","","","0.033","0.05","1104","46","","satisfy"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","5.239939491264522","","80","","1","complete","25464","","21","","0","","","0","","0","4.235072","12420","393","3980","0.50109","13545","","","0","4759","results_rect_new","","1095974","","","13140","25544","0.133622","","8480","40","93","satisfy"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8543596100062132","","64","","1","complete","1343","","2381","","0","","","2368","","0","0.13355","7520","306","2400","0.333617","8350","","","0","2959","results_rect_new","","53437","","","8032","1356","0.085023","","5152","32","73","satisfy"
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.6197344157845","","108","","0","complete","3848223","","19","","0","","","0","","0","1198.58571","29781","626","9585","1.08861","31769","","","0","11022","results_rect_new","","143378476","","","31131","3857105","0.323382","","20250","54","135","satisfy"
"Huub_user_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.783556417562","","120","","0","complete","3807924","","18","","0","","","0","","0","1198.098472","39570","729","12750","1.47743","41991","","","0","14529","results_rect_new","","161009106","","","41250","3811095","0.424081","","26880","60","153","satisfy"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.5200165333226","","96","","0","complete","4276054","","16","","0","","","0","","0","1198.851564","22896","550","7344","0.896352","24610","","","0","8575","results_rect_new","","141904558","","","24048","4279496","0.247804","","15600","48","121","satisfy"
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.6688423892483","","100","","0","complete","4024655","","16","","0","","","0","","0","1198.686775","25175","578","8075","1.03776","27015","","","0","9408","results_rect_new","","134917390","","","26425","4029824","0.273237","","17150","50","127","satisfy"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","486.54339043051004","3321103","88","-162960166","1","","3185175","138","21","18264","0","18124","135910","","3185175","","486.066","1144","2143","407","0.134242","1184","0.0","","0","115","results_rect_new","0.0","1416483095","","","","","0.03","0.05","1012","44","","satisfy"
