"configuration","problem","model","data_file","status","time","solveTime","oracleDecisions","eliminatedImplications","flatIntConstraints","unifiedVariables","restarts","evaluatedHalfReifiedConstraints","initTime","evaluatedReifiedConstraints","propagations","method","flatBoolVars","flatTime","userDecisions","failures","objective","blockType","paths","peakDepth","flatBoolConstraints","nSolutions","intVariables","extractedViews","run","propagators","flatIntVars"
"Huub_user_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","117.95466780290008","109.426326","1248083","5000","79145","0","0","","1.23162","102200","38227399","minimize","83200","5.34879","0","52245","S(30)","complete","0","14186","49000","20","30197","35000","results_free_prod_new","68144","30200"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","1.4110800651833415","0.764303","40027","250","3779","0","0","","0.059999","4550","550441","minimize","3800","0.308301","0","4695","S(9)","complete","0","3511","2250","2","1547","1750","results_free_prod_new","3028","1550"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","2.392815920524299","1.799735","47513","250","3718","0","0","","0.061915","4410","493317","minimize","3710","0.31819","0","2529","S(10)","complete","0","3780","2200","1","1547","1750","results_free_prod_new","2917","1550"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","1.1094659073278308","0.288163","21181","250","3901","0","0","","0.061636","4830","237711","minimize","3980","0.329091","0","1871","S(6)","complete","0","2984","2350","5","1547","1750","results_free_prod_new","3250","1550"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","1.9849157882854342","1.341838","68112","250","3779","0","0","","0.058413","4550","1020127","minimize","3800","0.310924","0","7110","S(8)","complete","0","3377","2250","3","1547","1750","results_free_prod_new","3028","1550"
"Huub_user_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","3.3335009701550007","0.857267","136359","250","21769","0","0","18000","0.301286","4550","4419948","minimize","21800","1.55028","0","3429","S(9)","complete","0","36468","5250","2","1547","1750","results_free_prod_new","21018","1550"
"Huub_user_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","106.78339075110853","88.209518","1981483","1000","162665","0","0","147000","2.296336","19880","344459967","minimize","163280","12.2631","0","118490","S(20)","complete","0","102916","34100","1","6097","7000","results_free_prod_new","160264","6100"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","UNKNOWN","1202.0512193646282","1193.605787","2577981","5000","79145","0","0","","1.221499","102200","199370611","minimize","83200","5.23447","0","6422","","complete","0","3188","49000","0","30197","35000","results_free_prod_new","68144","30200"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","0.9282043939456344","0.272737","22365","250","3901","0","0","","0.060423","4830","254073","minimize","3980","0.31461","0","1256","S(6)","complete","0","3012","2350","5","1547","1750","results_free_prod_new","3250","1550"
"Huub_user_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","91.53889619000256","28.574815","3584499","2250","535000","0","0","499500","7.999458","45570","112125075","minimize","536670","41.6511","0","7662","S(20)","complete","0","403648","105150","8","13647","15750","results_free_prod_new","529899","13650"
