"configuration","problem","model","data_file","status","time","variables","flatBoolConstraints","flatIntVars","objective","unifiedVariables","evaluatedReifiedConstraints","propagations","paths","propagators","trailMem","initTime","nodes","method","failures","userDecisions","baseMem","nogoods","restarts","boolVariables","nSolutions","evaluatedHalfReifiedConstraints","run","peakMem","oracleDecisions","randomSeed","solveTime","blockType","flatIntConstraints","backjumps","eliminatedImplications","flatTime","peakDepth","intVars","flatBoolVars","intVariables","objectiveBound","solutions","extractedViews"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","UNKNOWN","1200.2772125918418","295","132","115","","","","888686699","0","395","","0.002447","64272335","satisfy","32136045","","","","0","","0","176","results_rect","","","","1199.9","","261","","88","0.098546","57","","176","","","0",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","826.7978999651968","20306","437","121","","","1104","2540067808","0","2333","0.05","0.034","5590276","satisfy","5398849","","0.0","5398849","0","20159","1","92","results_rect","0.0","","2007472121","826.464","","1284","191405","46","0.120471","27","145","1242","","","",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.8578155245632","","13185","14529","","0","26880","805974068","0","2468","","0.442537","","satisfy","4283633","4287030","","","0","","0","1860","results_rect","","0","","1198.020524","complete","43730","","60","1.53265","18","","41310","153","","","41250"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","3.5209573172032833","","2890","3383","","0","5916","3097658","0","870","","0.095824","","satisfy","25365","25440","","","0","","1","612","results_rect","","57","","2.68218","complete","10098","","34","0.376981","76","","9180","79","","","9214"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","SATISFIED","1.8819712940603495","","6972","7827","","0","14208","468160","0","1620","","0.229656","","satisfy","1495","0","","","0","","1","1200","results_rect","","9857","","0.295114","complete","23544","","48","0.781438","8053","","21960","117","","","21912"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","2.4661308098584414","","9529","10643","","0","19500","1084974","0","1919","","0.311524","","satisfy","1949","0","","","0","","1","1404","results_rect","","19129","","0.503527","complete","31935","","52","1.05669","10730","","29952","133","","","30004"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.4778435211629","","7620","8575","","0","15600","668360884","0","1653","","0.245728","","satisfy","5222156","5226284","","","0","","0","1200","results_rect","","0","","1198.929198","complete","25713","","48","0.823218","16","","24000","121","","","24048"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","73.82821666635573","","5166","5905","","0","10584","62201120","0","1286","","0.172517","","satisfy","397538","398293","","","0","","1","924","results_rect","","122","","72.544399","complete","17678","","42","0.628149","142","","16338","103","","","16380"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","UNKNOWN","1200.6544832997024","","10822","11991","","0","22064","660237896","0","2166","","0.357011","","satisfy","4068906","4071372","","","0","","0","1624","results_rect","","0","","1198.450342","complete","36086","","56","1.18826","16","","33964","141","","","33908"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","454.6239167097956","18264","407","115","","","1012","1416483095","0","2143","0.05","0.032","3321103","satisfy","3185175","","0.0","3185175","0","18124","1","88","results_rect","0.0","","957666784","454.17","","1184","135910","44","0.131593","21","138","1144","","","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","UNKNOWN","1200.1562977526337","295","132","115","","","","889553765","0","395","","0.00223","64366594","satisfy","32183175","","","","0","","0","176","results_rect","","","","1199.9","","261","","88","0.094046","57","","176","","","0",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","264.7956829722971","","13185","14529","","0","26880","220528106","0","2468","","0.43717","","satisfy","901123","572512","","","13931","","1","1860","results_rect","","508978","","262.153784","complete","43730","","60","1.42829","2014","","41310","153","","","41250"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","UNKNOWN","1200.236253252253","","156","139","","","","","0","","","","","satisfy","","","","","","","0","208","results_rect","","","","","","309","","104","0.091187","","","208","","","",""
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.2053695563226938","","4170","4759","","0","8480","283278","0","1151","","0.135164","","satisfy","1320","0","","","0","","1","840","results_rect","","6478","","0.174448","complete","14304","","40","0.501884","4940","","13180","93","","","13140"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","5.418319554999471","","11690","12975","","0","23912","3776897","0","2203","","0.380822","","satisfy","7777","0","","","0","","1","1624","results_rect","","18089","","3.065229","complete","38951","","56","1.26522","8114","","36680","145","","","36736"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","SATISFIED","1.9246142487972975","","7975","8904","","0","16250","360133","0","1755","","0.260938","","satisfy","1363","0","","","0","","1","1300","results_rect","","10862","","0.267144","complete","26792","","50","0.870996","9162","","25075","123","","","25025"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","43.02889539115131","267","120","103","","","","43906128","0","359","","0.013992","2772093","satisfy","1386014","","","","0","","1","160","results_rect","","","","42.7331","","237","","80","0.091106","51","","160","","","1",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.763753728941083","","2232","2603","","0","4512","250596","0","758","","0.075","","satisfy","1310","1324","","","0","","1","544","results_rect","","2613","","0.134739","complete","7813","","32","0.314449","2627","","7072","69","","","7040"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","SATISFIED","2.223695270717144","","8375","9408","","0","17150","477305","0","1777","","0.280703","","satisfy","1393","0","","","0","","1","1300","results_rect","","12448","","0.418205","complete","28214","","50","0.992837","9596","","26375","127","","","26425"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","SATISFIED","3.1562266647815704","","10395","11593","","0","21276","1597309","0","2052","","0.339827","","satisfy","3199","0","","","0","","1","1512","results_rect","","10858","","1.014265","complete","34788","","54","1.15699","7086","","32670","139","","","32724"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.2481781896204","317","144","123","","","","828151330","0","429","","0.00238","60772261","satisfy","30386086","","","","0","","0","192","results_rect","","","","1199.9","","283","","96","0.0934","57","","192","","","0",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.1438475754112","379","168","151","","","","858552005","0","503","","0.002812","58749622","satisfy","29374803","","","","0","","0","224","results_rect","","","","1199.91","","333","","112","0.090918","60","","224","","","0",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.1905087251216","337","150","133","","","","674605520","0","449","","0.010691","61256646","satisfy","30628220","","","","0","","0","200","results_rect","","","","1199.9","","297","","100","0.097112","54","","200","","","0",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","UNKNOWN","1200.7512415871024","","9529","10643","","0","19500","735499719","0","1919","","0.311858","","satisfy","4400705","4410761","","","0","","0","1404","results_rect","","0","","1198.54652","complete","31935","","52","1.13858","19","","29952","133","","","30004"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.2130055464804","25214","500","133","","","1300","3421222019","0","2737","0.05","0.039","7148480","satisfy","6823527","","0.0","6823527","0","25053","0","100","results_rect","0.0","","-778275657","1199.866","","1496","324945","50","0.130701","17","159","1450","","","",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","72.57768942043185","","5445","6161","","0","11088","65899937","0","1376","","0.174323","","satisfy","399155","399957","","","0","","1","1012","results_rect","","134","","71.409441","complete","18526","","44","0.618579","157","","17182","105","","","17138"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","67.26230632513762","","5995","6803","","0","12276","60992200","0","1407","","0.194258","","satisfy","332120","219856","","","9231","","1","1012","results_rect","","210310","","65.845324","complete","20383","","44","0.70129","953","","18920","109","","","18964"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.2206498645246","23644","500","129","","","1300","4229326945","0","2733","0.05","0.039","8394300","satisfy","8136491","","0.0","8136491","0","23487","0","100","results_rect","0.0","","-1485993382","1199.859","","1494","257799","50","0.137435","16","155","1450","","","",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","7.387711765244603","","9529","10643","","0","19500","5482486","0","1919","","0.31394","","satisfy","20179","15832","","","65","","1","1404","results_rect","","7496","","5.444512","complete","31935","","52","1.05381","2526","","29952","133","","","30004"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.9884748626500368","","120","99","0","","","2218021","0","","","","","satisfy","31990","","","","","268","1","160","results_rect","","","","1.75495","","235","","80","0.096386","","","160","","0","",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","4.571589270606637","","7620","8575","","0","15600","3783715","0","1653","","0.243799","","satisfy","13751","10640","","","441","","1","1200","results_rect","","9705","","3.004826","complete","25713","","48","0.841202","726","","24000","121","","","24048"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","252.5030020698905","281","126","109","","","","207704890","0","377","","0.002227","14244726","satisfy","7122281","","","","0","","1","168","results_rect","","","","252.285","","249","","84","0.090458","61","","168","","","1",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.3108406644315","","180","159","","","","","0","","","","","satisfy","","","","","","","0","240","results_rect","","","","","","355","","120","0.093615","","","240","","","",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","1.535519190132618","","4872","5523","","0","9912","526375","0","1265","","0.158399","","satisfy","2887","2450","","","1","","1","924","results_rect","","795","","0.41902","complete","16608","","42","0.585656","254","","15372","99","","","15330"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","40.73899992927909","","126","109","0","","","51523272","0","","","","","satisfy","620301","","","","","435","1","168","results_rect","","","","40.3994","","249","","84","0.111091","","","168","","0","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","UNKNOWN","1200.163629801944","373","168","147","","","","490927690","0","501","","0.002732","52807762","satisfy","26403852","","","","0","","0","224","results_rect","","","","1199.9","","331","","112","0.098941","62","","224","","","0",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","UNKNOWN","1200.270961228758","345","156","135","","","","643694637","0","465","","0.002543","56984254","satisfy","28492051","","","","0","","0","208","results_rect","","","","1199.9","","307","","104","0.096566","54","","208","","","0",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.2768910042942","","150","129","","","","","0","","","","","satisfy","","","","","","","0","200","results_rect","","","","","","295","","100","0.093318","","","200","","","",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","1.6456125192344189","9762","297","87","","","684","9076049","0","1459","0.02","0.018","23492","satisfy","22672","","0.0","22672","0","9654","1","72","results_rect","0.0","","-178658115","1.369","","822","795","36","0.113686","24","106","792","","","",""
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","2.1978706903755665","","8749","9755","","0","17836","551377","0","1883","","0.279019","","satisfy","1540","0","","","0","","1","1404","results_rect","","13458","","0.405694","complete","29351","","52","0.962535","10118","","27508","129","","","27456"
