"configuration","problem","model","data_file","status","time","extractedViews","blockType","eliminatedImplications","failures","evaluatedReifiedConstraints","flatIntVars","flatBoolVars","intVariables","flatBoolConstraints","propagations","method","peakDepth","oracleDecisions","run","userDecisions","nSolutions","restarts","unifiedVariables","initTime","propagators","evaluatedHalfReifiedConstraints","paths","flatTime","flatIntConstraints","solveTime"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.7774530192837","41250","complete","60","3866077","26880","14529","39570","153","12750","182260691","satisfy","18","0","results_rect_basic","3869233","0","0","0","0.406894","785","120","0","1.32774","41991","1198.26429"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","3.696180915925652","9214","complete","34","25238","5916","3383","8636","79","2754","1019478","satisfy","18","0","results_rect_basic","25313","1","0","0","0.08809","362","68","0","0.361891","9555","2.997002"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","SATISFIED","1.755751178599894","21912","complete","48","1443","14208","7827","20856","117","6696","135754","satisfy","6745","8492","results_rect_basic","0","1","0","0","0.211345","561","96","0","0.723499","22441","0.374323"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","2.7958704782649875","30004","complete","52","2565","19500","10643","28652","133","9204","754947","satisfy","9330","18372","results_rect_basic","0","1","0","0","0.290921","670","104","0","1.06382","30636","0.869607"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.4755350612104","24048","complete","48","4555157","15600","8575","22896","121","7344","158949540","satisfy","16","0","results_rect_basic","4558742","0","0","0","0.233148","596","96","0","0.794984","24610","1198.969503"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","79.04369294689968","16380","complete","42","402069","10584","5905","15498","103","4956","17881985","satisfy","21","0","results_rect_basic","402729","1","0","0","0.153758","488","84","0","0.673943","16839","77.458036"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","UNKNOWN","1200.6363252261654","33908","complete","56","3485555","22064","11991","32452","141","10444","146627719","satisfy","16","0","results_rect_basic","3487795","0","0","0","0.335278","707","112","0","1.10456","34575","1198.560089"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","57.9971514348872","41250","complete","60","208004","26880","14529","39570","153","12750","13044947","satisfy","2422","104379","results_rect_basic","142146","1","2945","0","0.397983","785","120","0","1.31379","41991","55.566758"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.1913410383276641","13140","complete","40","1229","8480","4759","12420","93","3980","100671","satisfy","4025","5439","results_rect_basic","0","1","0","0","0.130602","430","80","0","0.494858","13545","0.244999"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","3.8528247121721506","36736","complete","56","3763","23912","12975","35168","145","11312","907542","satisfy","8114","11925","results_rect_basic","0","1","0","0","0.366553","746","112","0","1.23363","37440","1.540631"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","SATISFIED","2.0501109659671783","25025","complete","50","1530","16250","8904","23875","123","7675","171625","satisfy","7775","9626","results_rect_basic","0","1","0","0","0.235434","602","100","0","0.820719","25593","0.462159"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7560068243183196","7040","complete","32","1269","4512","2603","6592","69","2112","71997","satisfy","2094","2080","results_rect_basic","1282","1","0","0","0.07061","311","64","0","0.297785","7334","0.141965"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","SATISFIED","2.9164704540744424","26425","complete","50","1549","17150","9408","25175","127","8075","219781","satisfy","8113","11022","results_rect_basic","0","1","0","0","0.256019","626","100","0","1.02163","27015","0.71629"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","SATISFIED","2.7192065422423184","32724","complete","54","1723","21276","11593","31266","139","10044","750942","satisfy","10181","18840","results_rect_basic","0","1","0","0","0.317535","701","108","0","1.08181","33385","0.732458"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","UNKNOWN","1200.5909604998305","30004","complete","52","3911921","19500","10643","28652","133","9204","160965847","satisfy","19","0","results_rect_basic","3920999","0","0","0","0.294512","670","104","0","1.02201","30636","1198.683008"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","81.9082740903832","17138","complete","44","402035","11088","6161","16258","105","5214","18018310","satisfy","23","0","results_rect_basic","402744","1","0","0","0.164888","494","88","0","0.603213","17603","80.722401"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","28.861909694969654","18964","complete","44","134600","12276","6803","17996","109","5764","8472097","satisfy","995","93220","results_rect_basic","100900","1","6505","0","0.179278","526","88","0","0.671817","19460","27.526958"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","8.011684335768223","30004","complete","52","20034","19500","10643","28652","133","9204","1515201","satisfy","2526","7663","results_rect_basic","15668","1","65","0","0.292735","670","104","0","1.00912","30636","6.156957"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","4.8539974400773644","24048","complete","48","13928","15600","8575","22896","121","7344","1073493","satisfy","724","9644","results_rect_basic","10640","1","441","0","0.230528","596","96","0","0.793081","24610","3.363233"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","1.5574756599962711","15330","complete","42","3005","9912","5523","14532","99","4662","166925","satisfy","67","730","results_rect_basic","2450","1","1","0","0.149234","466","84","0","0.55595","15769","0.507317"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","2.668794827070087","27456","complete","52","1865","17836","9755","26208","129","8424","272455","satisfy","8504","11963","results_rect_basic","0","1","0","0","0.272894","632","104","0","0.997673","28052","0.796844"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","2.850044956896454","11016","complete","36","14329","7092","4015","10368","85","3312","739794","satisfy","71","5354","results_rect_basic","10356","1","307","0","0.110701","397","72","0","0.413975","11390","2.025559"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","4.086968986317515","11016","complete","36","22778","7092","4015","10368","85","3312","1025514","satisfy","18","0","results_rect_basic","22848","1","0","0","0.113032","397","72","0","0.42466","11390","3.204498"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","SATISFIED","53.772033422254026","39904","complete","58","198328","25984","14077","38222","151","12296","11557166","satisfy","2217","86672","results_rect_basic","141467","1","2315","0","0.387788","779","116","0","1.37502","40639","51.299035"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","1.422093195375055","9738","complete","36","1278","6264","3561","9162","81","2934","84421","satisfy","2958","4394","results_rect_basic","0","1","0","0","0.099274","368","72","0","0.452371","10085","0.208556"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","5.457533570937812","13140","complete","40","26389","8480","4759","12420","93","3980","1369132","satisfy","21","0","results_rect_basic","26490","1","0","0","0.130349","430","80","0","0.4996","13545","4.518028"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","2.184925389010459","18964","complete","44","1631","12276","6803","17996","109","5764","167271","satisfy","5807","7753","results_rect_basic","0","1","0","0","0.174724","526","88","0","0.75281","19460","0.463182"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","1.730859111994505","21022","complete","46","1443","13616","7527","19964","115","6394","135168","satisfy","6443","8190","results_rect_basic","0","1","0","0","0.197378","555","92","0","0.719833","21545","0.368834"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","25.121663535013795","14620","complete","40","144669","9440","5283","13820","97","4420","6402787","satisfy","21","0","results_rect_basic","144944","1","0","0","0.136783","460","80","0","0.627541","15053","23.622173"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","9.789637354202569","16380","complete","42","45477","10584","5905","15498","103","4956","2698217","satisfy","510","26746","results_rect_basic","30294","1","1347","0","0.154154","488","84","0","0.670252","16839","8.211492"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","2.8961843042634428","11609","complete","38","14682","7486","4216","10963","87","3515","774900","satisfy","175","5840","results_rect_basic","10353","1","319","0","0.118408","403","76","0","0.399798","11989","2.080897"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","41.24940896499902","18964","complete","44","200233","12276","6803","17996","109","5764","10885228","satisfy","984","120975","results_rect_basic","141882","1","6171","0","0.175902","526","88","0","0.749776","19460","39.536228"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.8463883730582893","8517","complete","34","1498","5474","3124","8007","75","2567","84938","satisfy","2644","3223","results_rect_basic","1156","1","89","0","0.082621","343","68","0","0.340456","8841","0.162513"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.703747003805","36736","complete","56","3760136","23912","12975","35168","145","11312","164882760","satisfy","18","0","results_rect_basic","3765561","0","0","0","0.362356","746","112","0","1.22516","37440","1198.409135"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","823.0422328598797","18964","complete","44","3398124","12276","6803","17996","109","5764","120548205","satisfy","21","0","results_rect_basic","3402352","1","0","0","0.175595","526","88","0","0.74698","19460","821.300491"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","4.942348530050367","12502","complete","38","25429","8056","4543","11780","91","3762","1289982","satisfy","20","0","results_rect_basic","25524","1","0","0","0.123628","424","76","0","0.49273","12901","4.015755"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","1.1468591932207346","11609","complete","38","1340","7486","4216","10963","87","3515","123443","satisfy","3554","5105","results_rect_basic","0","1","0","0","0.109825","403","76","0","0.415166","11989","0.317192"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","UNKNOWN","1200.684239743743","38019","complete","58","3797124","24766","13406","36453","147","11745","166178372","satisfy","18","0","results_rect_basic","3802834","0","0","0","0.372439","752","116","0","1.29492","38729","1198.328289"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","1.4047069279477","17138","complete","44","1213","11088","6161","16258","105","5214","123115","satisfy","5258","6721","results_rect_basic","0","1","0","0","0.160831","494","88","0","0.590858","17603","0.286996"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","4.824297432787716","17138","complete","44","19351","11088","6161","16258","105","5214","1187536","satisfy","486","13515","results_rect_basic","10928","1","501","0","0.160044","494","88","0","0.630484","17603","3.670836"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.6700957748108","31131","complete","54","3863384","20250","11022","29781","135","9585","160274671","satisfy","19","0","results_rect_basic","3872383","0","0","0","0.305801","676","108","0","1.08817","31769","1198.60224"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","UNKNOWN","1200.6086823367514","32724","complete","54","3564613","21276","11593","31266","139","10044","148763026","satisfy","16","0","results_rect_basic","3566795","0","0","0","0.318705","701","108","0","1.08274","33385","1198.595778"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","4.451858456712216","19803","complete","46","17687","12834","7086","18837","111","6049","1104100","satisfy","744","9664","results_rect_basic","11242","1","355","0","0.189813","532","92","0","0.695624","20305","3.15712"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","17.74289536383003","27456","complete","52","71752","17836","9755","26208","129","8424","4049549","satisfy","1700","30256","results_rect_basic","48882","1","549","0","0.275291","632","104","0","0.990232","28052","15.887928"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8909347299486399","8032","complete","32","1370","5152","2959","7520","73","2400","69746","satisfy","2381","2368","results_rect_basic","1382","1","0","0","0.084191","337","64","0","0.358147","8350","0.140188"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","44.7518869866617","21022","complete","46","195736","13616","7527","19964","115","6394","11650996","satisfy","435","113740","results_rect_basic","148526","1","5563","0","0.197614","555","92","0","0.727459","21545","43.372527"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","1.8441552431322634","16380","complete","42","1213","10584","5905","15498","103","4956","122461","satisfy","5001","6464","results_rect_basic","0","1","0","0","0.154306","488","84","0","0.671394","16839","0.272339"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.5330209000967443","13140","complete","40","3800","8480","4759","12420","93","3980","216120","satisfy","64","1435","results_rect_basic","2723","1","39","0","0.129907","430","80","0","0.501936","13545","0.590838"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","702.9548451630399","36736","complete","56","2279406","23912","12975","35168","145","11312","141648658","satisfy","2184","1122489","results_rect_basic","1841054","1","64537","0","0.368458","746","112","0","1.22106","37440","700.637696"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.4784443448298","25025","complete","50","4492286","16250","8904","23875","123","7675","156885100","satisfy","16","0","results_rect_basic","4495938","0","0","0","0.233605","602","100","0","0.797944","25593","1198.965622"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","SATISFIED","2.8552773627452552","31131","complete","54","2565","20250","11022","29781","135","9585","764023","satisfy","9733","19061","results_rect_basic","0","1","0","0","0.305438","676","108","0","1.04392","31769","0.920356"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.44082339108","21912","complete","48","4436995","14208","7827","20856","117","6696","159560940","satisfy","20","0","results_rect_basic","4440383","0","0","0","0.213321","561","96","0","0.716581","22441","1199.068453"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","9.859572872053832","16380","complete","42","45477","10584","5905","15498","103","4956","2698217","satisfy","510","26746","results_rect_basic","30294","1","1347","0","0.161933","488","84","0","0.622833","16839","8.655498"
