"configuration","problem","model","data_file","status","time","propagators","extractedViews","propagations","evaluatedReifiedConstraints","blockType","method","peakDepth","unifiedVariables","oracleDecisions","flatBoolConstraints","flatBoolVars","evaluatedHalfReifiedConstraints","run","solveTime","flatIntVars","nSolutions","failures","paths","flatTime","intVariables","eliminatedImplications","restarts","userDecisions","initTime","flatIntConstraints"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.7932925861096","785","41250","180553603","26880","complete","satisfy","18","0","0","12750","39570","120","results_rect_basic_prop","1198.064544","14529","0","3826523","0","1.49315","153","60","0","3829623","0.442757","41991"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","3.0447084539337084","362","9214","914423","5916","complete","satisfy","17","0","0","2754","8636","68","results_rect_basic_prop","2.295897","3383","1","15268","0","0.377631","79","34","0","15514","0.096687","9555"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","SATISFIED","2.2238840960199013","561","21912","275086","14208","complete","satisfy","6738","0","8885","6696","20856","96","results_rect_basic_prop","0.697979","7827","1","1835","0","0.80463","117","48","0","0","0.225205","22441"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","2.87474563496653","670","30004","769926","19500","complete","satisfy","9371","0","18710","9204","28652","104","results_rect_basic_prop","0.954323","10643","1","2724","0","1.04409","133","52","0","0","0.307258","30636"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.508756444091","596","24048","158865031","15600","complete","satisfy","16","0","0","7344","22896","96","results_rect_basic_prop","1198.883514","8575","0","4552746","0","0.861539","121","48","0","4556333","0.252557","24610"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","122.63074559299275","488","16380","25570050","10584","complete","satisfy","24","0","0","4956","15498","84","results_rect_basic_prop","121.395662","5905","1","589980","0","0.665487","103","42","0","591001","0.175293","16839"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","UNKNOWN","1200.6996118860552","707","33908","145727701","22064","complete","satisfy","16","0","0","10444","32452","112","results_rect_basic_prop","1198.45776","11991","0","3467603","0","1.19471","141","56","0","3469823","0.345901","34575"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","62.84048438700847","785","41250","13285530","26880","complete","satisfy","2422","0","105676","12750","39570","120","results_rect_basic_prop","60.162762","14529","1","209192","0","1.47093","153","60","2945","142146","0.439777","41991"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.338540876051411","430","13140","184815","8480","complete","satisfy","4003","0","5752","3980","12420","80","results_rect_basic_prop","0.37337","4759","1","1571","0","0.505604","93","40","0","0","0.133019","13545"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","3.9080609569791704","746","36736","1033186","23912","complete","satisfy","8114","0","11234","11312","35168","112","results_rect_basic_prop","1.510993","12975","1","3090","0","1.32583","145","56","0","0","0.370395","37440"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","SATISFIED","2.335153457010165","602","25025","231978","16250","complete","satisfy","7712","0","9612","7675","23875","100","results_rect_basic_prop","0.638055","8904","1","1577","0","0.882511","123","50","0","0","0.266225","25593"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.8587211910635233","311","7040","129908","4512","complete","satisfy","2097","0","2080","2112","6592","64","results_rect_basic_prop","0.260471","2603","1","2129","0","0.298671","69","32","0","2153","0.072501","7334"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","SATISFIED","2.7792937230551615","626","26425","343545","17150","complete","satisfy","8135","0","11501","8075","25175","100","results_rect_basic_prop","0.888549","9408","1","2015","0","1.03803","127","50","0","0","0.288645","27015"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","SATISFIED","2.833736642030999","701","32724","749726","21276","complete","satisfy","10199","0","18827","10044","31266","108","results_rect_basic_prop","0.740656","11593","1","1687","0","1.13709","139","54","0","0","0.336019","33385"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","UNKNOWN","1200.6030564960092","670","30004","159641556","19500","complete","satisfy","19","0","0","9204","28652","104","results_rect_basic_prop","1198.609725","10643","0","3878390","0","1.08141","133","52","0","3887417","0.30741","30636"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","594.2761612869799","494","17138","97111700","11088","complete","satisfy","26","0","0","5214","16258","88","results_rect_basic_prop","593.089","6161","1","2392024","0","0.626219","105","44","0","2410369","0.16717","17603"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","45.68469390203245","526","18964","11280181","12276","complete","satisfy","974","0","123527","5764","17996","88","results_rect_basic_prop","44.317264","6803","1","202522","0","0.726633","109","44","6637","143245","0.203718","19460"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","31.069389355019666","670","30004","8414576","19500","complete","satisfy","2526","0","63959","9204","28652","104","results_rect_basic_prop","29.104484","10643","1","106578","0","1.07651","133","52","2663","76707","0.307516","30636"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","5.1004987369524315","596","24048","1073990","15600","complete","satisfy","724","0","9716","7344","22896","96","results_rect_basic_prop","3.485647","8575","1","13763","0","0.85954","121","48","441","10640","0.252133","24610"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","1.5978812840767205","466","15330","158041","9912","complete","satisfy","71","0","615","4662","14532","84","results_rect_basic_prop","0.459631","5523","1","2858","0","0.611918","99","42","1","2450","0.153607","15769"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","2.7466426629107445","632","27456","283142","17836","complete","satisfy","8507","0","11900","8424","26208","104","results_rect_basic_prop","0.729688","9755","1","1786","0","1.05912","129","52","0","0","0.272585","28052"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","2.8096770170377567","397","11016","731106","7092","complete","satisfy","86","0","5243","3312","10368","72","results_rect_basic_prop","1.995363","4015","1","14244","0","0.415861","85","36","307","10356","0.111314","11390"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","5.56289099692367","397","11016","1608833","7092","complete","satisfy","19","0","0","3312","10368","72","results_rect_basic_prop","4.748177","4015","1","33633","0","0.414157","85","36","0","33742","0.110425","11390"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","SATISFIED","62.330111329909414","779","39904","13444943","25984","complete","satisfy","2563","0","114493","12296","38222","116","results_rect_basic_prop","59.771475","14077","1","209348","0","1.42077","151","58","2765","133034","0.400077","40639"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","1.1167548659723252","368","9738","136835","6264","complete","satisfy","2951","0","4687","2934","9162","72","results_rect_basic_prop","0.298134","3561","1","1569","0","0.413395","81","36","0","0","0.105622","10085"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","4.75540176499635","430","13140","1258308","8480","complete","satisfy","21","0","0","3980","12420","80","results_rect_basic_prop","3.799511","4759","1","24639","0","0.506229","93","40","0","24731","0.132818","13545"
