"configuration","problem","model","data_file","status","time","flatIntVars","method","flatIntConstraints","paths","eliminatedImplications","flatBoolVars","nSolutions","run","failures","intVariables","oracleDecisions","userDecisions","flatBoolConstraints","evaluatedReifiedConstraints","propagations","peakDepth","unifiedVariables","blockType","initTime","flatTime","evaluatedHalfReifiedConstraints","extractedViews","propagators","restarts","solveTime"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.8890844029956","14529","satisfy","41991","0","60","39570","0","results_rect_core_prop","4365930","153","0","4369523","12750","26880","203334873","18","0","complete","0.407428","1.39553","120","41250","785","0","1198.193183"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","1.9718839720007963","3383","satisfy","9555","0","34","8636","1","results_rect_core_prop","9739","79","0","9923","2754","5916","537144","17","0","complete","0.089555","0.360633","68","9214","362","0","1.266995"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNSATISFIABLE","8.175497188000008","7827","satisfy","22441","0","48","20856","0","results_rect_core_prop","20289","117","21670","0","6696","14208","3991702","191","0","complete","0.211876","0.753587","96","21912","561","0","6.769672"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","UNSATISFIABLE","9.067004739015829","10643","satisfy","30636","0","52","28652","0","results_rect_core_prop","19432","133","26961","0","9204","19500","5470251","6481","0","complete","0.297374","1.04246","104","30004","670","0","7.165965"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.4977227630443","8575","satisfy","24610","0","48","22896","0","results_rect_core_prop","5062668","121","0","5066593","7344","15600","178067356","16","0","complete","0.238882","0.874805","96","24048","596","0","1198.886411"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","386.91209155798424","5905","satisfy","16839","0","42","15498","1","results_rect_core_prop","1794387","103","0","1801414","4956","10584","72513477","24","0","complete","0.156326","0.589474","84","16380","488","0","385.799646"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","UNKNOWN","1200.6047068290063","11991","satisfy","34575","0","56","32452","0","results_rect_core_prop","3882147","141","0","3884569","10444","22064","163263203","16","0","complete","0.335141","1.14158","112","33908","707","0","1198.520321"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","739.8476615769905","14529","satisfy","41991","0","60","39570","1","results_rect_core_prop","2494335","153","1323648","1869645","12750","26880","150376957","2422","0","complete","0.412012","1.36539","120","41250","785","64375","737.346034"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","UNSATISFIABLE","1.6887273030006327","4759","satisfy","13545","0","40","12420","0","results_rect_core_prop","3321","93","3567","0","3980","8480","646662","124","0","complete","0.127274","0.504484","80","13140","430","0","0.744413"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNSATISFIABLE","18.30444744398119","12975","satisfy","37440","0","56","35168","0","results_rect_core_prop","31843","145","42587","0","11312","23912","8271154","8114","0","complete","0.357787","1.21488","112","36736","746","0","15.999308"
