"configuration","problem","model","data_file","status","time","eliminatedImplications","flatTime","method","propagations","userDecisions","nSolutions","extractedViews","intVariables","flatBoolConstraints","evaluatedHalfReifiedConstraints","flatIntConstraints","propagators","flatIntVars","blockType","flatBoolVars","failures","run","initTime","paths","unifiedVariables","restarts","solveTime","peakDepth","evaluatedReifiedConstraints","oracleDecisions"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.7616360466927","60","1.45682","satisfy","183919397","3910888","0","41250","153","12750","120","41991","785","14529","complete","39570","3907696","results_rect_merge","0.401895","0","0","0","1198.13939","18","26880","0"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","3.8419988523237407","34","0.372707","satisfy","1037783","25336","1","9214","79","2754","68","9555","362","3383","complete","8636","25260","results_rect_merge","0.091287","0","0","0","3.058249","18","5916","0"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","SATISFIED","1.849829358048737","48","0.758839","satisfy","146436","0","1","21912","117","6696","96","22441","561","7827","complete","20856","1412","results_rect_merge","0.208803","0","0","0","0.381753","6765","14208","8512"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","3.072534151840955","52","1.08754","satisfy","782553","0","1","30004","133","9204","104","30636","670","10643","complete","28652","2729","results_rect_merge","0.3006","0","0","0","1.05647","6481","19500","9343"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.4951057787985","48","0.815807","satisfy","159236914","4566783","0","24048","121","7344","96","24610","596","8575","complete","22896","4563196","results_rect_merge","0.237061","0","0","0","1198.945884","16","15600","0"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","79.11392912315205","42","0.573836","satisfy","17992582","403247","1","16380","103","4956","84","16839","488","5905","complete","15498","402602","results_rect_merge","0.154478","0","0","0","78.021792","20","10584","0"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","UNKNOWN","1200.634365140926","56","1.17916","satisfy","149229799","3545368","0","33908","141","10444","112","34575","707","11991","complete","32452","3543081","results_rect_merge","0.340311","0","0","0","1198.476925","16","22064","0"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","59.6586336218752","60","1.34703","satisfy","13089439","142158","1","41250","153","12750","120","41991","785","14529","complete","39570","212310","results_rect_merge","0.399766","0","0","2945","57.177151","2422","26880","108529"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.2876527002081275","40","0.539502","satisfy","128834","0","1","13140","93","3980","80","13545","430","4759","complete","12420","1316","results_rect_merge","0.128078","0","0","0","0.277848","4077","8480","5617"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","3.4493204839527607","56","1.26216","satisfy","803892","0","1","36736","145","11312","112","37440","746","12975","complete","35168","2777","results_rect_merge","0.359755","0","0","0","1.147827","8114","23912","10913"
