"configuration","problem","model","data_file","status","time","nogoods","flatTime","propagations","paths","variables","propagators","flatBoolConstraints","trailMem","flatBoolVars","solutions","evaluatedHalfReifiedConstraints","extractedViews","restarts","backjumps","eliminatedImplications","unifiedVariables","nodes","blockType","run","nSolutions","randomSeed","objective","evaluatedReifiedConstraints","peakMem","oracleDecisions","objectiveBound","flatIntConstraints","baseMem","flatIntVars","boolVariables","intVars","peakDepth","userDecisions","solveTime","optTime","intVariables","method","failures","initTime"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","UNKNOWN","1200.7003087680787","","1.30604","785803472","0","","2321","12151","","38077","","1740","38019","0","","58","0","","complete","results_all","0","","","24766","","0","","40352","","13406","","","18","4385237","1198.294946","","147","satisfy","4377022","0.395867"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","1.805627204477787","","0.82067","346914","0","","1653","7620","","24000","","1200","24048","0","","48","0","","complete","results_all","1","","","15600","","10418","","25713","","8575","","","8710","0","0.25483","","121","satisfy","1367","0.244207"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.330864513293","","0.100425","","0","","","150","","200","","200","","","","100","","","","results_all","0","","","","","","","295","","129","","","","","","","","satisfy","",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","12.491014946252108","","0.08968","15874730","0","","","120","","160","","160","","","","80","","","","results_all","1","","0","","","","0","237","","103","324","","","","12.2654","","","satisfy","209027",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.241842282936","","0.091058","","0","","","168","","224","","224","","","","112","","","","results_all","0","","","","","","","333","","151","","","","","","","","satisfy","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","50.29525765217841","","0.10177","47449353","0","275","375","126","","168","1","168","","0","","84","","2853398","","results_all","1","","","","","","","247","","105","","","56","","50.0415","","","satisfy","1426665","0.002146"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","1.2268402017652988","","0.394866","659075","0","","870","2890","","9180","","612","9214","33","","34","0","","complete","results_all","1","","","5916","","1804","","10098","","3383","","","166","2614","0.463482","","79","satisfy","4103","0.097258"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","UNKNOWN","1200.1713174246252","","0.102414","851406170","0","309","413","138","","184","0","184","","0","","92","","63700861","","results_all","0","","","","","","","273","","121","","","57","","1199.89","","","satisfy","31850373","0.003461"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.5000818558037","","0.772742","699831134","0","","1620","6972","","21960","","1200","21912","0","","48","0","","complete","results_all","0","","","14208","","0","","23544","","7827","","","20","5142253","1198.99316","","117","satisfy","5138156","0.231795"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.3057040274143219","1182","0.101189","500789","0","8090","1171","248","0.02","640","","64","","0","38","32","","1233","","results_all","1","1993531670","","544","0.0","","","668","0.0","79","7992","96","12","","0.057","","","satisfy","1182","0.014"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","UNKNOWN","1200.31325628981","6851472","0.157651","4399055618","0","33194","3637","638","0.05","1914","","116","","0","322999","58","","7174482","","results_all","0","45661451","","1740","0.0","","","1966","0.0","153","33009","183","20","","1199.842","","","satisfy","6851472","0.054"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","4.009963367134333","","0.453369","3712005","0","","1049","3686","","11647","","760","11609","0","","38","0","","complete","results_all","1","","","7486","","86","","12672","","4216","","","107","23054","3.036671","","87","satisfy","22965","0.125827"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","436.3308289889246","3185175","0.134046","1506359629","0","18932","2329","437","0.05","1242","","92","","0","137444","46","","3322642","","results_all","1","1076382850","","1104","0.0","","","1282","0.0","117","18789","141","25","","435.91","","","satisfy","3185175","0.033"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp08_true.dzn","SATISFIED","0.26638077199459076","","0.110261","2637","0","","207","346","","1071","","143","1056","0","","15","0","","complete","results_all","1","","","656","","424","","1280","","427","","","431","19","0.003917","","23","satisfy","13","0.016157"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","SATISFIED","2.315286960452795","","1.06338","477305","0","","1777","8375","","26375","","1300","26425","0","","50","0","","complete","results_all","1","","","17150","","12448","","28214","","9408","","","9596","0","0.421772","","127","satisfy","1393","0.280731"
