"configuration","problem","model","data_file","status","time","flatTime","intVars","peakDepth","method","baseMem","boolVariables","blockType","oracleDecisions","nogoods","paths","evaluatedReifiedConstraints","peakMem","evaluatedHalfReifiedConstraints","objectiveBound","backjumps","userDecisions","objective","nodes","initTime","trailMem","flatIntVars","flatBoolVars","flatBoolConstraints","failures","propagations","run","extractedViews","flatIntConstraints","variables","randomSeed","solveTime","restarts","propagators","nSolutions","optTime","intVariables","unifiedVariables","solutions"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","UNKNOWN","1200.9352933000773","1.65939","","157","minimize","","","","","","0","","","29700","","","","","3242090","0.264755","","605","29700","4950","1620988","3298405116","results_container_new","","30098","30305","","1198.34","0","35048","0","","","","0"
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.3292102729902","0.158835","","3511","minimize","","","complete","312248","","0","2688","","","","","0","12636","","0.044963","","1205","1728","960","146626","12547504","results_container_new","600","1758","","","1199.853054","0","2118","40","","605","0",""
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.3152928408235","0.179328","","4718","minimize","","","complete","257047","","0","3360","","","","","0","18648","","0.063886","","1505","2160","1200","65672","6807827","results_container_new","750","2196","","","1199.772845","0","2646","39","","755","0",""
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.4350200621411","0.162278","","1321","minimize","","","complete","191403","","0","2688","","","","","0","10976","","0.04189","","1205","1728","960","126756","9159919","results_container_new","600","1758","","","1199.921578","0","2118","28","","605","0",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1201.2095099417493","1.6936","899","598","minimize","0.0","79494","","","2310951","0","30327","0.0","","","1662717","","4320","4000888","0.414","0.63","899","30234","5415","2310951","5248885202","results_container_new","","30740","80395","406766617","1198.303","64","61089","64","1104.989","","",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","UNKNOWN","1201.2381032695994","2.45243","","238","minimize","","","","","","0","","","42840","","","","","1788124","0.378543","","725","42840","7140","893968","2822282211","results_container_new","","43319","43565","","1197.55","0","50459","0","","","","0"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.2916262634099","0.171855","","2944","minimize","","","complete","163147","","0","2688","","","","","0","11088","","0.041998","","1205","1728","960","98897","8952369","results_container_new","600","1758","","","1199.910341","0","2118","33","","605","0",""
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.218542110175","0.17954","","4608","minimize","","","complete","289038","","0","3360","","","","","0","18144","","0.060797","","1505","2160","1200","65586","5160369","results_container_new","750","2196","","","1199.804589","0","2646","45","","755","0",""
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1203.9779076520354","10.2798","","62625","minimize","","","complete","6613312","","0","3360","","186701","","","0","15120","","2.250389","","1505","188861","32325","947102","2621254707","results_container_new","750","188896","","","1187.677964","0","189346","71","","755","0",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","UNKNOWN","1203.2422772189602","6.77161","","","minimize","","","","","","0","","","119400","","","","","","","","1205","119400","19900","","","results_container_new","","120197","","","","","","0","","","",""
