"configuration","problem","model","data_file","status","time","restarts","propagators","evaluatedReifiedConstraints","unifiedVariables","failures","flatTime","evaluatedHalfReifiedConstraints","intVariables","extractedViews","peakDepth","solveTime","method","flatIntConstraints","nSolutions","paths","eliminatedImplications","objective","run","initTime","flatBoolConstraints","flatIntVars","oracleDecisions","propagations","blockType","flatBoolVars","userDecisions"
"Huub_vsids_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","SATISFIED","1200.4916436253116","15","13726","20440","0","143320","1.12497","","6097","7000","13181","1198.640701","minimize","15927","1","0","1000","S(20)","results_prod_shelf","0.253005","9800","6100","160012861","1778312288","complete","16640","0"
"Huub_vsids_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","98.76708362437785","762","68144","102200","0","29595","5.38011","","30197","35000","52604","90.112706","minimize","79145","10","0","5000","S(30)","results_prod_shelf","1.210698","49000","30200","1659375","43720192","complete","83200","0"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","46.0819086516276","121","13063","19600","0","24060","1.05826","","6097","7000","14868","44.312558","minimize","15564","13","0","1000","S(8)","results_prod_shelf","0.265209","9500","6100","1334653","20281861","complete","16100","0"
"Huub_vsids_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","UNKNOWN","1201.1179499635473","59","30098","45150","0","190027","2.51804","","13647","15750","29550","1196.93114","minimize","35349","0","0","2250","","results_prod_shelf","0.63796","21750","13650","22428734","474534568","complete","36900","0"
"Huub_vsids_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","4.4048653822392225","501","3107","4620","0","26274","0.302269","","1485","1680","3226","3.851236","minimize","3738","4","0","240","S(5)","results_prod_shelf","0.055746","2250","1488","153913","2669132","complete","3810","0"
"Huub_vsids_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","SATISFIED","1200.9229637011886","72","28443","43050","0","147807","2.32695","","13647","15750","47029","1197.002496","minimize","34444","5","0","2250","S(21)","results_prod_shelf","0.73301","21000","13650","8776616","173736015","complete","35550","0"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","SATISFIED","1200.5417656628415","15","13726","20440","0","142914","1.12589","","6097","7000","13181","1198.640433","minimize","15927","1","0","1000","S(20)","results_prod_shelf","0.253603","9800","6100","159498776","1772602254","complete","16640","0"
"Huub_vsids_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","5.488211712799966","31","13726","20440","0","3790","1.14733","","6097","7000","12653","3.516121","minimize","15927","8","0","1000","S(13)","results_prod_shelf","0.257816","9800","6100","157116","2807679","complete","16640","0"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","UNKNOWN","1202.18733715266","37","64838","98000","0","9098","5.93178","","30197","35000","43870","1192.534579","minimize","77339","0","0","5000","","results_prod_shelf","1.693273","47500","30200","1149160","25014458","complete","80500","0"
"Huub_vsids_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","23.31444913893938","19","158938","18200","0","1077","12.1228","147000","6097","7000","309992","4.965404","minimize","161939","5","0","1000","S(6)","results_prod_shelf","2.31515","33500","6100","1846305","51897834","complete","162200","0"
"Huub_vsids_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","OPTIMAL_SOLUTION","159.15590638387948","2643","530561","46410","0","57242","44.2659","499500","13647","15750","521520","92.790052","minimize","535362","3","0","2250","S(13)","results_prod_shelf","8.252981","105450","13650","3482025","358459023","complete","537210","0"
"Huub_vsids_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","1.0396361267194152","28","2917","4410","0","1205","0.312603","","1547","1750","3833","0.392994","minimize","3718","1","0","250","S(10)","results_prod_shelf","0.060613","2200","1550","36711","351014","complete","3710","0"
"Huub_vsids_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","OPTIMAL_SOLUTION","902.6003429619595","3216","1554196","103600","0","98246","131.157","1485000","30197","35000","2944219","706.057347","minimize","1564697","31","0","5000","S(17)","results_prod_shelf","24.283038","297000","30200","106304095","2327796604","complete","1569100","0"
