"configuration","problem","model","data_file","status","time","flatIntConstraints","flatIntVars","restarts","backjumps","nSolutions","nogoods","blockType","flatTime","optTime","userDecisions","randomSeed","evaluatedHalfReifiedConstraints","boolVariables","baseMem","flatBoolConstraints","initTime","objective","nodes","intVars","objectiveBound","unifiedVariables","trailMem","intVariables","peakMem","failures","oracleDecisions","propagators","flatBoolVars","peakDepth","run","variables","propagations","method","paths","extractedViews","evaluatedReifiedConstraints","solutions","solveTime"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","UNKNOWN","1200.9352933000773","30098","605","0","","0","","","1.65939","","","","29700","","","4950","0.264755","","3242090","","","","","","","1620988","","35048","29700","157","results_container","30305","3298405116","minimize","0","","","0","1198.34"
"Huub_vsids_basic","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.6545592490584","1140","785","4593","","53","","complete","0.255325","","0","","","","","620","0.032748","4590","","","","0","","395","","430316","1381933","1370","1116","2100","results_container","","52732395","minimize","0","390","1736","","1199.726763"
"Huub_vsids_m+o","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.577615821734","1758","1205","547","","53","","complete","0.265356","","0","","","","","960","0.044656","12789","","","","0","","605","","39738","421455","2118","1728","3670","results_container","","9720387","minimize","0","600","2688","","1199.697623"
"Huub_vsids_basic","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.5831629233435","1758","1205","1222","","33","","complete","0.253533","","0","","","","","960","0.041198","7140","","","","0","","605","","145968","682099","2118","1728","3191","results_container","","23335003","minimize","0","600","2688","","1199.713478"
"Huub_vsids_s+o","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.6262056734413","870","605","6369","","42","","complete","0.215481","","0","","","","","470","0.028694","5040","","","","0","","305","","616845","1852033","1040","846","2319","results_container","","68340256","minimize","0","300","1316","","1199.778161"
"Huub_vsids_s+o","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.5975752407685","1050","725","5189","","45","","complete","0.225543","","0","","","","","570","0.031586","5880","","","","0","","365","","395029","1582592","1260","1026","1782","results_container","","58087501","minimize","0","360","1596","","1199.763762"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.1717952350155","1140","785","4636","","53","","complete","0.134982","","0","","","","","620","0.028249","4590","","","","0","","395","","443028","1405283","1370","1116","2100","results_container","","54341381","minimize","0","390","1736","","1199.860788"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1201.2095099417493","30740","899","64","1662717","64","2310951","","1.6936","1104.989","","406766617","","79494","0.0","5415","0.414","4320","4000888","899","","","0.63","","0.0","2310951","","61089","30234","598","results_container","80395","5248885202","minimize","0","","30327","","1198.303"
"Huub_vsids_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.6499903937802","1140","785","3022","","47","","complete","0.257913","","0","","","","","620","0.035331","4752","","","","0","","395","","211456","895401","1370","1116","2032","results_container","","33663429","minimize","0","390","1736","","1199.714192"
"Huub_vsids_decomp","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1201.0449921246618","30529","605","56779","","37","","complete","1.73329","","0","","29666","","","5415","0.360732","3870","","","","0","","305","","1361847","15703713","30694","30503","37434","results_container","","7272493412","minimize","0","300","1302","","1197.929435"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","UNKNOWN","1201.2381032695994","43319","725","0","","0","","","2.45243","","","","42840","","","7140","0.378543","","1788124","","","","","","","893968","","50459","42840","238","results_container","43565","2822282211","minimize","0","","","0","1197.55"
"Huub_vsids_decomp","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1201.2531761052087","51443","785","33369","","53","","complete","2.75826","","0","","50310","","","9000","0.583661","7560","","","","0","","395","","814048","13225852","51668","51417","63414","results_container","","7138425549","minimize","0","390","1722","","1196.703084"
"Huub_vsids_m+o","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.5881951441988","1758","1205","801","","34","","complete","0.253809","","0","","","","","960","0.042455","11025","","","","0","","605","","54988","374133","2118","1728","2682","results_container","","15189350","minimize","0","600","2688","","1199.719196"
"Huub_vsids_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.597661120817","1050","725","3458","","40","","complete","0.216544","","0","","","","","570","0.033652","4774","","","","0","","365","","235379","1005979","1260","1026","1916","results_container","","35158229","minimize","0","360","1596","","1199.76204"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.3093394692987","2208","1505","264","","47","","complete","0.212126","","0","","","","","1210","0.058943","17664","","","","0","","755","","16632","430123","2668","2178","6714","results_container","","5637260","minimize","0","750","3388","","1199.735453"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.275049623102","1758","1205","545","","53","","complete","0.160235","","0","","","","","960","0.045611","13041","","","","0","","605","","33165","446375","2118","1728","4066","results_container","","7742832","minimize","0","600","2688","","1199.831792"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.1640443941578","1758","1205","1265","","33","","complete","0.156057","","0","","","","","960","0.04002","7140","","","","0","","605","","147655","694255","2118","1728","3191","results_container","","23732231","minimize","0","600","2688","","1199.815536"
