"configuration","problem","model","data_file","status","time","nSolutions","flatIntVars","nodes","flatBoolVars","solutions","run","solveTime","randomSeed","baseMem","method","objective","intVars","flatIntConstraints","unifiedVariables","variables","boolVariables","nogoods","flatBoolConstraints","initTime","blockType","trailMem","oracleDecisions","propagations","userDecisions","intVariables","backjumps","evaluatedReifiedConstraints","propagators","paths","evaluatedHalfReifiedConstraints","optTime","peakMem","failures","flatTime","restarts","peakDepth","objectiveBound","extractedViews"
"Huub_user_decomp","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.9909168286249042","5","49","","600","","results_filter","0.086097","","","minimize","18","","635","0","","","","180","0.012849","complete","","3338","327254","5364","29","","","631","0","600","","","3058","0.3299","0","705","","4"
"Huub_free_m+s","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.5277567626908422","16","52","","","","results_filter","0.0874","","","minimize","18","","36","0","","","","","0.006076","complete","","1528","14400","1189","51","","","35","0","","","","386","0.183898","9","168","","1"
"gecode","","../filters/filter.mzn","../filters/dct_1_2.dzn","SATISFIED","1200.653623888269","1","73","688962614","","1","results_filter","1199.81","","","minimize","32","","75","","137","","","","0.054802","","","","3052147507","","","","","78","0","","","","344481283","0.189643","0","58","",""
"Huub_vsids_basic","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","2.0614331364631653","5","33","","","","results_filter","1.43396","","","minimize","34","","37","0","","","","","0.007334","complete","","54695","420986","0","29","","","33","0","","","","35019","0.192418","1691","92","","4"
"Huub_vsids_m+s","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.42643088661134243","5","52","","","","results_filter","0.025885","","","minimize","18","","36","0","","","","","0.005694","complete","","491","7377","0","51","","","35","0","","","","81","0.167439","1","128","","1"
"Huub_vsids_m+o","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.47948034945875406","4","52","","","","results_filter","0.023696","","","minimize","18","","36","0","","","","","0.005689","complete","","446","5564","0","51","","","35","0","","","","102","0.169508","1","122","","1"
"chuffed","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.7025018287822604","2","84","206","1344","","results_filter","0.009","651724868","0.0","minimize","17","83","1405","","11666","11581","7","336","0.026","","0.04","","24695","","","93","1344","2758","0","","0.009","0.0","7","0.238545","2","67","",""
"Huub_free_s+o","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","57.16800963692367","2","105","","","","results_filter","56.548438","","","minimize","16","","75","0","","","","","0.007606","complete","","432712","9579222","1058509","65","","","67","0","","","","647170","0.214259","19061","193","","8"
"Huub_vsids_m+o","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.837578653357923","1","51","","","","results_filter","0.365484","","","minimize","28","","57","0","","","","","0.006164","complete","","13096","164023","0","35","","","49","0","","","","8579","0.188818","493","102","","8"
"Huub_free_m+s","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.48085562605410814","2","69","","","","results_filter","0.009866","","","minimize","21","","57","0","","","","","0.006319","complete","","0","885","110","35","","","49","0","","","","5","0.171698","0","54","","8"
"Huub_vsids_basic","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","1.186290335841477","1","26","","","","results_filter","0.003743","","","minimize","4","","14","0","","","","","0.00434","complete","","111","1211","0","18","","","11","0","","","","0","0.263475","0","112","","3"
