"configuration","problem","model","data_file","status","time","baseMem","optTime","restarts","evaluatedHalfReifiedConstraints","randomSeed","variables","boolVariables","peakMem","initTime","flatBoolVars","solutions","objective","solveTime","nSolutions","intVariables","flatIntConstraints","blockType","nogoods","nodes","oracleDecisions","intVars","method","error","propagators","unifiedVariables","flatBoolConstraints","propagations","peakDepth","failures","eliminatedImplications","flatIntVars","extractedViews","userDecisions","run","trailMem","evaluatedReifiedConstraints","flatTime","backjumps","objectiveBound","paths"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","UNKNOWN","1204.3049118537456","","","","147000","","","","","","155000","","","","0","","157909","","","","","","minimize","","","","29500","","","","1000","6100","","","results_prod_new","","7000","12.9424","","","0"
"Huub_vsids_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","6.965777578763664","","","6","","","","","","0.255246","16640","","S(13)","4.92396","5","6097","15927","complete","","","240077","","minimize","","13726","0","9800","2871136","15030","22981","1000","6100","7000","0","results_prod_new","","20440","1.18311","","","0"
"Huub_vsids_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","28.50990556087345","","","133","","","","","","1.225833","83200","","S(30)","19.826517","5","30197","79145","complete","","","728492","","minimize","","68144","0","49000","16976108","55599","7269","5000","30200","35000","0","results_prod_new","","102200","5.36534","","","0"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","44.50161257199943","","","121","","","","","","0.249607","16100","","S(8)","42.742064","13","6097","15564","complete","","","1334653","","minimize","","13063","0","9500","20281861","14868","24060","1000","6100","7000","0","results_prod_new","","19600","1.046929","","","0"
"Huub_vsids_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","OPTIMAL_SOLUTION","126.89429181721061","","","1490","","","","","","0.630863","36900","","S(14)","122.603215","15","13647","35349","complete","","","2186402","","minimize","","30098","0","21750","51911393","30131","247000","2250","13650","15750","0","results_prod_new","","45150","2.63184","","","0"
"Huub_vsids_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","2.7021099599078298","","","377","","","","","","0.060018","3810","","S(5)","2.06867","4","1485","3738","complete","","","52899","","minimize","","3107","0","2250","1400883","3018","17671","240","1488","1680","0","results_prod_new","","4620","0.355686","","","0"
"Huub_vsids_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","OPTIMAL_SOLUTION","36.58906211517751","","","124","","","","","","0.721682","35550","","S(8)","32.570348","6","13647","34444","complete","","","1081090","","minimize","","28443","0","21000","11533512","47822","17047","2250","13650","15750","0","results_prod_new","","43050","2.27396","","","0"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","SATISFIED","1200.5241207405925","","","15","","","","","","0.259833","16640","","S(20)","1198.626171","1","6097","15927","complete","","","158041540","","minimize","","13726","0","9800","1756421084","13181","141830","1000","6100","7000","0","results_prod_new","","20440","1.13368","","","0"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","65.61773193534464","0.0","46.047","15","","2066483828","637580","631479","0.0","2.941","159800","","6","46.199","15","","161090","","10640","760396","","6099","minimize","","304291","","33500","200299797","7554","10640","1000","6099","","","results_prod_new","0.63","159600","13.1107","648292","","0"
"Huub_vsids_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","3.6820345455780625","","","14","","","","","","0.2534","16640","","S(13)","1.662302","8","6097","15927","complete","","","132294","","minimize","","13726","0","9800","1994994","12003","3312","1000","6100","7000","0","results_prod_new","","20440","1.16191","","","0"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","UNKNOWN","1202.1114784255624","","","37","","","","","","1.604187","80500","","","1193.207893","0","30197","77339","complete","","","1148742","","minimize","","64838","0","47500","25008099","43870","9098","5000","30200","35000","0","results_prod_new","","98000","5.34477","","","0"
"Huub_vsids_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","24.525627470575273","","","19","147000","","","","","2.3338","162200","","S(6)","5.213146","5","6097","161939","complete","","","1846305","","minimize","","158938","0","33500","51897834","309992","1077","1000","6100","7000","0","results_prod_new","","18200","12.8682","","","0"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","ERROR","223.79505202639848","","","","1485000","","","","","","1525000","","","","0","","1539954","","","","","","minimize","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","272500","","","","5000","30200","","","results_prod_new","","35000","133.472","","","0"
