"configuration","problem","model","data_file","status","time","flatTime","nSolutions","nogoods","extractedViews","propagations","boolVariables","evaluatedHalfReifiedConstraints","oracleDecisions","userDecisions","run","flatBoolConstraints","nodes","intVars","failures","intVariables","unifiedVariables","evaluatedReifiedConstraints","flatIntConstraints","paths","baseMem","backjumps","peakDepth","restarts","flatIntVars","solutions","variables","method","randomSeed","initTime","trailMem","flatBoolVars","eliminatedImplications","propagators","blockType","peakMem","objective","solveTime","objectiveBound"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","3.433084635064006","0.427696","1","","11016","2383479","","684","65","22107","results_rect","3465","","","22025","85","0","7092","12001","0","","","84","0","4015","","","satisfy","","0.115736","","10980","36","971","complete","","","2.596315",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","533.9330080542713","1.28861","1","","38019","106893866","","116","1027196","1449670","results_rect","11745","","","1953574","147","0","24766","38729","0","","","1911","49559","13406","","","satisfy","","0.376148","","36453","58","698","complete","","","531.557523",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","UNKNOWN","1200.3824789477512","0.103148","0","","","877770761","","176","","","results_rect","132","63594100","","31796929","","","","261","0","","","57","0","115","0","295","satisfy","","0.01996","","176","88","395","","","","1199.9",""
"Huub_vsids_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.6861101416870952","0.284798","1","","6615","48919","","60","3108","0","results_rect","1965","","","937","67","0","4230","6903","0","","","1958","0","2458","","","satisfy","","0.066544","","6165","30","276","complete","","","0.09318",""
"Huub_vsids_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","2.8697355734184384","1.36451","1","","38019","126788","","116","21907","0","results_rect","11745","","","691","147","0","24766","38729","0","","","11970","7","13406","","","satisfy","","0.376619","","36453","58","698","complete","","","0.417497",""
"Huub_vsids_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","2.6012203516438603","1.26736","1","","38019","77743","","116","21597","0","results_rect","11745","","","321","147","0","24766","38729","0","","","11985","4","13406","","","satisfy","","0.383974","","36453","58","698","complete","","","0.260745",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","14.10099281463772","0.940273","1","","26425","3181823","","100","41086","34400","results_rect","8075","","","62291","127","0","17150","27015","0","","","1092","1418","9408","","","satisfy","","0.265283","","25175","50","578","complete","","","12.383153",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","903.1078860331327","0.134254","1","5398849","","2540067808","20159","92","","","results_rect","437","5590276","145","5398849","","","1104","1284","0","0.0","191405","27","0","121","","20306","satisfy","-768510090","0.033","0.05","1242","46","2333","","0.0","","902.662",""
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8101541195064783","0.326972","1","","8032","72029","","64","2982","1309","results_rect","2400","","","1590","73","0","5152","8350","0","","","2381","110","2959","","","satisfy","","0.083477","","7520","32","306","complete","","","0.152828",""
"Huub_vsids_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","2.8216552631929517","1.38388","1","","41250","77173","","120","22891","0","results_rect","12750","","","264","153","0","26880","41991","0","","","12960","2","14529","","","satisfy","","0.406959","","39570","60","729","complete","","","0.256762",""
