"configuration","problem","model","data_file","status","time","variables","evaluatedHalfReifiedConstraints","objectiveBound","flatTime","backjumps","method","trailMem","userDecisions","nSolutions","intVars","flatBoolVars","propagators","paths","evaluatedReifiedConstraints","initTime","restarts","objective","extractedViews","nogoods","solveTime","randomSeed","intVariables","optTime","flatBoolConstraints","flatIntVars","failures","blockType","propagations","unifiedVariables","flatIntConstraints","peakDepth","solutions","nodes","run","baseMem","peakMem","boolVariables","oracleDecisions"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","UNKNOWN","1200.9352933000773","30305","29700","","1.65939","","minimize","","","0","","29700","35048","0","","0.264755","0","","","","1198.34","","","","4950","605","1620988","","3298405116","","30098","157","0","3242090","results_container","","","",""
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.6007268195972","","","","0.211445","","minimize","","0","29","","1728","2118","0","2688","0.041541","724","8160","600","","1199.797373","","605","","960","1205","38530","complete","10748510","0","1758","3946","","","results_container","","","","438033"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.6087708622217","","","","0.234549","","minimize","","0","43","","2160","2646","0","3360","0.063868","0","17680","750","","1199.76768","","755","","1200","1505","190892","complete","18071728","0","2196","4718","","","results_container","","","","419404"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.5490856757388","","","","0.17239","","minimize","","0","29","","1026","1260","0","1596","0.031404","3126","4752","360","","1199.821105","","365","","570","725","356942","complete","41191433","0","1050","1823","","","results_container","","","","1007639"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.5001740278676","","","","0.207192","","minimize","","0","34","","1728","2118","0","2688","0.04172","0","10296","600","","1199.814025","","605","","960","1205","312932","complete","20833301","0","1758","1321","","","results_container","","","","406145"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.5417401287705","","","","0.226415","","minimize","","0","54","","1116","1370","0","1736","0.034899","4669","4536","390","","1199.748334","","395","","620","785","447850","complete","54830846","0","1140","2100","","","results_container","","","","1418153"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1201.2095099417493","80395","","","1.6936","1662717","minimize","0.63","","64","899","30234","61089","0","30327","0.414","64","4320","","2310951","1198.303","406766617","","1104.989","5415","899","2310951","","5248885202","","30740","598","","4000888","results_container","0.0","0.0","79494",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","UNKNOWN","1201.2381032695994","43565","42840","","2.45243","","minimize","","","0","","42840","50459","0","","0.378543","0","","","","1197.55","","","","7140","725","893968","","2822282211","","43319","238","0","1788124","results_container","","","",""
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.294211730361","","","","0.16492","","minimize","","0","34","","1728","2118","0","2688","0.046749","0","10868","600","","1199.91569","","605","","960","1205","146667","complete","12026307","0","1758","2944","","","results_container","","","","219484"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.2082671560347","","","","0.186052","","minimize","","0","44","","2178","2668","0","3388","0.060002","347","17250","750","","1199.765341","","755","","1210","1505","18498","complete","6924900","0","2208","7571","","","results_container","","","","413110"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.688966035843","","","","0.202725","","minimize","","0","51","","1728","2118","0","2688","0.049476","671","13167","600","","1199.836594","","605","","960","1205","34246","complete","10320580","0","1758","5251","","","results_container","","","","488449"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.6018869224936","","","","0.212113","","minimize","","0","33","","1728","2118","0","2688","0.041231","1270","7140","600","","1199.794708","","605","","960","1205","148560","complete","23809944","0","1758","3191","","","results_container","","","","696428"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.2582570761442","","","","0.18659","","minimize","","0","40","","2178","2668","0","3388","0.059494","315","19440","750","","1199.837114","","755","","1210","1505","11406","complete","5455588","0","2208","6991","","","results_container","","","","346303"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.6503684520721","","","","0.232143","","minimize","","0","47","","2160","2646","0","3360","0.063725","0","17138","750","","1199.807215","","755","","1200","1505","112070","complete","8368930","0","2196","4608","","","results_container","","","","353748"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1203.9779076520354","","186701","","10.2798","","minimize","","0","71","","188861","189346","0","3360","2.250389","0","15120","750","","1187.677964","","755","","32325","1505","947102","complete","2621254707","0","188896","62625","","","results_container","","","","6613312"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1204.2175949430093","","186750","","10.3516","","minimize","","0","57","","188928","189417","0","3388","2.23855","5211","16896","750","","1187.603522","","755","","32335","1505","202753","complete","5178393256","0","188957","247767","","","results_container","","","","17157745"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.5340121472254","","","","0.173331","","minimize","","0","26","","1026","1260","0","1596","0.030815","3468","4680","360","","1199.801593","","365","","570","725","296797","complete","35981566","0","1050","1928","","","results_container","","","","916934"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","UNKNOWN","1203.2422772189602","","119400","","6.77161","","minimize","","","0","","119400","","0","","","","","","","","","","","19900","1205","","","","","120197","","","","results_container","","","",""
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.5516818668693","","","","0.173609","","minimize","","0","33","","1026","1260","0","1596","0.032143","2735","4862","360","","1199.82131","","365","","570","725","271070","complete","27980029","0","1050","1945","","","results_container","","","","925464"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","UNKNOWN","1203.2096378868446","","119400","","6.8954","","minimize","","","0","","119400","","0","","","","","","","","","","","19900","1205","","","","","120197","","","","results_container","","","",""
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1202.5796057293192","","119378","","6.46514","","minimize","","0","63","","121106","121495","0","2688","1.454448","0","6664","600","","1192.212487","","605","","20860","1205","1110189","complete","1878893581","0","121135","42602","","","results_container","","","","4955755"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.4357399092987","","","","0.212228","","minimize","","0","64","","1728","2118","0","2688","0.04489","0","11172","600","","1199.759414","","605","","960","1205","355748","complete","23044383","0","1758","3541","","","results_container","","","","611425"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.5573039203882","","","","0.225128","","minimize","","0","31","","1728","2118","0","2688","0.046948","0","10472","600","","1199.750097","","605","","960","1205","121435","complete","8274449","0","1758","1105","","","results_container","","","","178724"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1203.2096496773884","","","","7.05901","","minimize","","","19","","120552","","0","120744","","","20520","","","","","","","20860","1799","","","","","121559","","","","results_container","","","",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1201.5455704750493","110180","","","2.47921","995957","minimize","0.94","","33","1079","43524","87786","0","43638","0.572","33","10800","","1698524","1197.517","2089319340","","148.63","7710","1079","1698524","","8948878249","","44129","711","","2713883","results_container","0.0","0.0","109099",""
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.5796581404284","","","","0.147794","","minimize","","0","19","","1026","1260","0","1596","0.032375","0","5382","360","","1199.855731","","365","","570","725","420698","complete","26891111","0","1050","591","","","results_container","","","","468433"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.6047007488087","","","","0.252122","","minimize","","0","40","","1728","2118","0","2688","0.043811","0","7280","600","","1199.776952","","605","","960","1205","170462","complete","9996668","0","1758","3505","","","results_container","","","","263558"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.6221515843645","","","","0.255722","","minimize","","0","51","","1728","2118","0","2688","0.043762","700","7448","600","","1199.798425","","605","","960","1205","53582","complete","11881809","0","1758","7942","","","results_container","","","","461783"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1201.038297395222","","42828","","2.27025","","minimize","","0","43","","43854","44087","0","1596","0.488142","0","4640","360","","1197.281997","","365","","7710","725","1902963","complete","1904681818","0","43877","14425","","","results_container","","","","3794616"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","UNKNOWN","1201.26806762442","43565","42840","","2.48097","","minimize","","","0","","42840","50459","0","","0.388401","0","","","","1197.52","","","","7140","725","875140","","2906352221","","43319","209","0","1750436","results_container","","","",""
