"configuration","problem","model","data_file","status","time","nodes","nSolutions","solveTime","boolVariables","extractedViews","propagators","objective","failures","run","unifiedVariables","objectiveBound","intVariables","evaluatedReifiedConstraints","initTime","flatIntVars","intVars","userDecisions","flatIntConstraints","evaluatedHalfReifiedConstraints","variables","solutions","blockType","flatBoolConstraints","backjumps","optTime","method","propagations","trailMem","flatTime","nogoods","randomSeed","peakMem","baseMem","flatBoolVars","peakDepth","oracleDecisions","restarts","paths"
"Huub_user_decomp","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.5416699023917317","","5","0.086924","","4","631","18","3058","results_filter","0","","29","","0.012123","49","","5364","635","600","","","complete","180","","","minimize","327254","","0.202398","","","","","600","705","3338","0","0"
"Huub_free_m+s","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.4868744183331728","","16","0.082901","","1","35","18","386","results_filter","0","","51","","0.005743","52","","1189","36","","","","complete","","","","minimize","14400","","0.167032","","","","","","168","1528","9","0"
"gecode","","../filters/filter.mzn","../filters/dct_1_2.dzn","SATISFIED","1200.653623888269","688962614","1","1199.81","","","78","32","344481283","results_filter","","","","","0.054802","73","","","75","","137","1","","","","","minimize","3052147507","","0.189643","","","","","","58","","0","0"
"chuffed","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.7025018287822604","206","2","0.009","11581","","2758","17","7","results_filter","","","","1344","0.026","84","83","","1405","","11666","","","336","93","0.009","minimize","24695","0.04","0.238545","7","651724868","0.0","0.0","1344","67","","2","0"
"Huub_free_diffn","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.7964392090216279","","1","0.003365","","3","11","4","7","results_filter","0","","18","","0.004309","26","","32","14","","","","complete","","","","minimize","95","","0.204533","","","","","","20","0","0","0"
"Huub_free_m+s","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.8366659171879292","","2","0.009904","","8","49","21","5","results_filter","0","","35","","0.007269","69","","110","57","","","","complete","","","","minimize","885","","0.175166","","","","","","54","0","0","0"
"Huub_free_basic","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.6385686034336686","","4","0.233686","","4","33","18","5528","results_filter","0","","29","","0.005924","49","","12417","37","","","","complete","","","","minimize","99789","","0.169142","","","","","","37","2641","151","0"
"Huub_user_diffn","","../filters/filter.mzn","../filters/dct_2_3.dzn","SATISFIED","1200.3080697888508","","2","1199.812429","","8","67","16","8968773","results_filter","0","","65","","0.008384","105","","12804431","75","","","","complete","","","","minimize","66032787","","0.184283","","","","","","76","0","0","0"
"Huub_user_m+o","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.8576514143497","","2","1199.771788","","8","67","14","6742904","results_filter","0","","97","","0.01098","105","","22098033","75","","","","complete","","","","minimize","90323883","","0.221521","","","","","","83","0","0","0"
"Huub_user_diffn","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","1.657031917013228","","3","0.057651","","4","33","16","1098","results_filter","0","","45","","0.006474","49","","4667","37","","","","complete","","","","minimize","24829","","0.220289","","","","","","42","0","0","0"
"Huub_free_diffn","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","85.86326768249273","","1","85.036084","","8","67","32","657458","results_filter","0","","65","","0.006941","73","","878831","75","","","","complete","","","","minimize","15598062","","0.220423","","","","","","112","554142","30699","0"
"Huub_user_basic","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1200.3886015200987","","4","1199.84987","","8","67","18","7642762","results_filter","0","","49","","0.007523","105","","9349840","75","","","","complete","","","","minimize","58983091","","0.15491","","","","","","75","0","0","0"
"Huub_free_basic","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.305071915499866","","1","0.625459","","4","33","34","16189","results_filter","0","","29","","0.005419","33","","11322","37","","","","complete","","","","minimize","200479","","0.201311","","","","","","40","9792","373","0"
"chuffed","","../filters/filter.mzn","../filters/dct_1_2.dzn","SATISFIED","1200.703134409152","19675708","1","1199.713","14324","","2992","32","19064790","results_filter","","","","1452","0.032","80","80","","1531","","14406","","","606","610838","0.012","minimize","7555094288","0.05","0.28285","19064790","272220050","0.0","0.0","1452","54","","1","0"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.4243985144421458","","1","0.003708","","3","11","6","14","results_filter","0","","18","","0.004599","26","","44","14","","","","complete","","","","minimize","135","","0.184355","","","","","","20","0","0","0"
