"configuration","problem","model","data_file","status","time","paths","restarts","unifiedVariables","evaluatedHalfReifiedConstraints","propagators","peakDepth","run","flatBoolConstraints","flatBoolVars","flatIntConstraints","initTime","objective","flatTime","intVariables","flatIntVars","method","extractedViews","propagations","solveTime","nSolutions","failures","blockType","oracleDecisions","userDecisions"
"Huub_user_decomp","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.5416699023917317","0","0","0","600","631","705","results_filter","180","600","635","0.012123","18","0.202398","29","49","minimize","4","327254","0.086924","5","3058","complete","3338","5364"
"Huub_free_m+s","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.4868744183331728","0","9","0","","35","168","results_filter","","","36","0.005743","18","0.167032","51","52","minimize","1","14400","0.082901","16","386","complete","1528","1189"
"Huub_free_diffn","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.9711226299405098","0","0","0","","11","20","results_filter","","","14","0.004708","4","0.244722","18","26","minimize","3","95","0.0035","1","7","complete","0","32"
"Huub_free_m+s","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.8366659171879292","0","0","0","","49","54","results_filter","","","57","0.007269","21","0.175166","35","69","minimize","8","885","0.009904","2","5","complete","0","110"
"Huub_free_basic","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.6385686034336686","0","151","0","","33","37","results_filter","","","37","0.005924","18","0.169142","29","49","minimize","4","99789","0.233686","4","5528","complete","2641","12417"
"Huub_user_diffn","","../filters/filter.mzn","../filters/dct_2_3.dzn","SATISFIED","1200.41072191298","0","0","0","","67","76","results_filter","","","75","0.008927","16","0.17166","65","105","minimize","8","71059895","1199.823906","2","9563410","complete","0","13632396"
"Huub_user_m+o","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.8576514143497","0","0","0","","67","83","results_filter","","","75","0.01098","14","0.221521","97","105","minimize","8","90323883","1199.771788","2","6742904","complete","0","22098033"
"Huub_user_diffn","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.5762287070974708","0","0","0","","33","42","results_filter","","","37","0.006779","16","0.179321","45","49","minimize","4","28585","0.066539","3","1333","complete","0","5504"
"Huub_free_diffn","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","81.69354292843491","0","30615","0","","67","108","results_filter","","","75","0.007578","32","0.194353","65","73","minimize","8","14209353","81.016015","1","600807","complete","467732","839271"
"Huub_user_basic","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1200.3886015200987","0","0","0","","67","75","results_filter","","","75","0.007523","18","0.15491","49","105","minimize","8","58983091","1199.84987","4","7642762","complete","0","9349840"
"Huub_free_basic","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.305071915499866","0","373","0","","33","40","results_filter","","","37","0.005419","34","0.201311","29","33","minimize","4","200479","0.625459","1","16189","complete","9792","11322"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.4243985144421458","0","0","0","","11","20","results_filter","","","14","0.004599","6","0.184355","18","26","minimize","3","135","0.003708","1","14","complete","0","44"
