"configuration","problem","model","data_file","status","time","paths","backjumps","flatIntVars","flatBoolConstraints","baseMem","optTime","userDecisions","method","initTime","unifiedVariables","intVars","restarts","extractedViews","trailMem","propagations","nSolutions","evaluatedHalfReifiedConstraints","peakMem","objectiveBound","objective","evaluatedReifiedConstraints","failures","nogoods","error","solveTime","flatIntConstraints","eliminatedImplications","flatTime","run","flatBoolVars","intVariables","propagators","solutions","randomSeed","oracleDecisions","blockType","variables","boolVariables","nodes","peakDepth"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","UNKNOWN","1204.3049118537456","0","","6100","29500","","","","minimize","","","","","","","","0","147000","","","","7000","","","","","157909","1000","12.9424","results_prod_new","155000","","","","","","","","","",""
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","OPTIMAL_SOLUTION","149.397576819174","0","","13650","21750","","","0","minimize","0.639669","0","","2129","15750","","63010484","9","","","","S(14)","45150","144525","","","145.355045","35349","2250","2.40392","results_prod_new","36900","13647","30098","","","2678128","complete","","","","29565"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","15.72758771944791","0","","6100","9500","","","0","minimize","0.270167","0","","204","7000","","7520643","13","","","","S(8)","19600","11674","","","13.81342","15564","1000","1.07677","results_prod_new","16100","6097","13063","","","594660","complete","","","","14680"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","1.2926148800179362","0","","1550","2250","","","0","minimize","0.061705","0","","0","1750","","489768","2","","","","S(9)","4550","4430","","","0.607986","3779","250","0.335587","results_prod_new","3800","1547","3028","","","34920","complete","","","","3633"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","OPTIMAL_SOLUTION","218.52089678589255","0","","30200","49000","","","0","minimize","1.563","0","","845","35000","","94697760","12","","","","S(24)","102200","58783","","","209.409835","79145","5000","5.49645","results_prod_new","83200","30197","68144","","","4376681","complete","","","","61993"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","1.0648046443238854","0","","1550","2200","","","0","minimize","0.060512","0","","0","1750","","487404","1","","","","S(10)","4410","2534","","","0.488248","3718","250","0.316121","results_prod_new","3710","1547","2917","","","46878","complete","","","","3780"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","SATISFIED","1200.5226714955643","0","","6100","9800","","","0","minimize","0.249408","0","","15","7000","","1775973567","1","","","","S(20)","20440","143161","","","1198.631497","15927","1000","1.1362","results_prod_new","16640","6097","13726","","","159802178","complete","","","","13181"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","65.61773193534464","0","648292","6099","33500","0.0","46.047","","minimize","2.941","","6099","15","","0.63","200299797","15","","0.0","","6","159600","10640","10640","","46.199","161090","1000","13.1107","results_prod_new","159800","","304291","","2066483828","","","637580","631479","760396","7554"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","SATISFIED","1202.2207570187747","0","","30200","47500","","","0","minimize","1.667075","0","","101","35000","","188111721","6","","","","S(16)","98000","18741","","","1193.331257","77339","5000","5.16309","results_prod_new","80500","30197","64838","","","14329922","complete","","","","94251"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","ERROR","223.79505202639848","0","","30200","272500","","","","minimize","","","","","","","","0","1485000","","","","35000","","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","1539954","5000","133.472","results_prod_new","1525000","","","","","","","","","",""
