"configuration","problem","model","data_file","status","time","flatBoolVars","evaluatedReifiedConstraints","flatIntVars","eliminatedImplications","extractedViews","flatIntConstraints","peakDepth","objective","userDecisions","intVariables","nSolutions","oracleDecisions","restarts","method","failures","flatBoolConstraints","unifiedVariables","propagators","propagations","initTime","solveTime","run","flatTime","paths","blockType"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","SATISFIED","1201.1648836107925","36900","45150","13650","2250","15750","35349","29427","S(15)","0","13647","11","36724105","985","minimize","151604","21750","0","30098","808280628","0.630123","1196.986241","results_prod_new","2.42068","0","complete"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","15.72758771944791","16100","19600","6100","1000","7000","15564","14680","S(8)","0","6097","13","594660","204","minimize","11674","9500","0","13063","7520643","0.270167","13.81342","results_prod_new","1.07677","0","complete"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","1.41941774263978","3800","4550","1550","250","1750","3779","3478","S(9)","0","1547","2","42707","0","minimize","6472","2250","0","3028","728362","0.058676","0.773574","results_prod_new","0.310434","0","complete"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","OPTIMAL_SOLUTION","842.052769003436","83200","102200","30200","5000","35000","79145","61692","S(24)","0","30197","16","14880150","774","minimize","128197","49000","0","68144","360623891","1.531296","832.909242","results_prod_new","5.50037","0","complete"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","1.0648046443238854","3710","4410","1550","250","1750","3718","3780","S(10)","0","1547","1","46878","0","minimize","2534","2200","0","2917","487404","0.060512","0.488248","results_prod_new","0.316121","0","complete"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","SATISFIED","1200.5226714955643","16640","20440","6100","1000","7000","15927","13181","S(20)","0","6097","1","159802178","15","minimize","143161","9800","0","13726","1775973567","0.249408","1198.631497","results_prod_new","1.1362","0","complete"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","SATISFIED","1202.2207570187747","80500","98000","30200","5000","35000","77339","94251","S(16)","0","30197","6","14329922","101","minimize","18741","47500","0","64838","188111721","1.667075","1193.331257","results_prod_new","5.16309","0","complete"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","0.805431074462831","3980","4830","1550","250","1750","3901","2984","S(6)","0","1547","5","21181","0","minimize","1871","2350","0","3250","237711","0.058017","0.226178","results_prod_new","0.30998","0","complete"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","83.44591154437512","16100","19600","6100","1000","7000","15564","14868","S(16)","0","6097","4","2872168","132","minimize","22023","9500","0","13063","46176101","0.26652","81.567182","results_prod_new","1.12449","0","complete"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","107.00776835810393","83200","102200","30200","5000","35000","79145","68005","S(30)","0","30197","18","3013080","1268","minimize","63002","49000","0","68144","70627438","1.209061","98.647818","results_prod_new","5.21404","0","complete"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","UNKNOWN","1200.9762720996514","36900","45150","13650","2250","15750","35349","29440","","0","13647","0","8426295","58","minimize","269127","21750","0","30098","424719779","0.620096","1197.032827","results_prod_new","2.40582","0","complete"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","45.63409259635955","16100","19600","6100","1000","7000","15564","15086","S(16)","0","6097","5","1252208","192","minimize","13213","9500","0","13063","17291637","0.265552","43.884008","results_prod_new","1.03752","0","complete"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","1.6429926855489612","3800","4550","1550","250","1750","3779","3377","S(8)","0","1547","3","68112","0","minimize","7110","2250","0","3028","1020127","0.060691","1.031703","results_prod_new","0.314557","0","complete"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","OPTIMAL_SOLUTION","604.2284277519211","83200","102200","30200","5000","35000","79145","62005","S(24)","0","30197","16","10946457","895","minimize","131000","49000","0","68144","285973035","1.619127","594.76256","results_prod_new","5.64745","0","complete"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","OPTIMAL_SOLUTION","696.9506246531382","83200","102200","30200","5000","35000","79145","61715","S(24)","0","30197","7","7583120","651","minimize","117201","49000","0","68144","203959066","1.493833","687.732212","results_prod_new","5.55802","0","complete"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","SATISFIED","1201.9565150747076","83200","102200","30200","5000","35000","79145","14067","S(50)","0","30197","1","90618829","0","minimize","50078","49000","0","68144","1747092476","1.197709","1193.775303","results_prod_new","5.08041","0","complete"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","0.8000228619202971","3980","4830","1550","250","1750","3901","3026","S(6)","0","1547","5","22193","0","minimize","1184","2350","0","3250","240237","0.057962","0.200109","results_prod_new","0.310867","0","complete"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","SATISFIED","1202.0881047118455","82750","101500","30200","5000","35000","78844","18659","S(20)","0","30197","1","31639477","0","minimize","275428","48750","0","67593","541393817","1.521529","1192.631691","results_prod_new","5.94758","0","complete"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","28.61207085940987","16280","19880","6100","1000","7000","15685","2532","S(20)","0","6097","1","483690","0","minimize","145322","9600","0","13284","19905267","0.239546","26.817317","results_prod_new","1.0919","0","complete"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","47.49235798511654","16280","19880","6100","1000","7000","15685","11039","S(20)","0","6097","1","1150246","4887","minimize","151523","9600","0","13284","44509555","0.236597","45.684179","results_prod_new","1.08496","0","complete"
