"configuration","problem","model","data_file","status","time","objective","baseMem","flatBoolConstraints","boolVariables","flatIntConstraints","trailMem","userDecisions","variables","eliminatedImplications","peakMem","solveTime","run","flatBoolVars","flatTime","evaluatedReifiedConstraints","method","peakDepth","propagations","failures","intVariables","blockType","flatIntVars","evaluatedHalfReifiedConstraints","nSolutions","restarts","objectiveBound","paths","propagators","oracleDecisions","unifiedVariables","extractedViews","intVars","randomSeed","solutions","initTime","backjumps","nogoods","nodes"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","3.6439468655735254","","","3465","","12001","","22107","","36","","2.57883","results_rect","10980","0.45366","7092","satisfy","84","2383479","22025","85","complete","4015","684","1","0","","0","971","65","0","11016","","","","0.122598","","",""
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.3576832059770823","","","3762","","12901","","2606","","38","","0.46199","results_rect","11780","0.454668","8056","satisfy","61","159504","3409","91","complete","4543","76","1","27","","0","387","1067","0","12502","","","","0.126859","","",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","264.58394942153245","","","11745","","38729","","660123","","58","","262.016066","results_rect","36453","1.4344","24766","satisfy","2122","53441279","1114334","147","complete","13406","116","1","17157","","0","698","637891","0","38019","","","","0.393221","","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","UNKNOWN","1200.3824789477512","","","132","","261","","","295","88","","1199.9","results_rect","176","0.103148","","satisfy","57","877770761","31796929","","","115","176","0","0","","0","395","","","","","","0","0.01996","","","63594100"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","11.394632534123957","","","8075","","27015","","37527","","50","","9.428376","results_rect","25175","1.01803","17150","satisfy","1191","2655165","51720","127","complete","9408","100","1","1419","","0","578","27507","0","26425","","","","0.266751","","",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","903.1078860331327","","0.0","437","20159","1284","0.05","","20306","46","0.0","902.662","results_rect","1242","0.134254","1104","satisfy","27","2540067808","5398849","","","121","92","1","0","","0","2333","","","","145","-768510090","","0.033","191405","5398849","5590276"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.534115926362574","","","4420","","15053","","2444","","40","","0.501132","results_rect","13820","0.544921","9440","satisfy","4420","189007","3849","97","complete","5283","80","1","27","","0","421","10513","0","14620","","","","0.146345","","",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.6251004254445434","","","4420","","15053","","2444","","40","","0.505329","results_rect","13820","0.594538","9440","satisfy","4420","191815","3880","97","complete","5283","80","1","27","","0","421","10545","0","14620","","","","0.146083","","",""
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","4.969959307461977","","","3980","","13545","","26021","","40","","3.987408","results_rect","12420","0.498191","8480","satisfy","21","1124748","25940","93","complete","4759","80","1","0","","0","393","0","0","13140","","","","0.128715","","",""
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","3.9443706003949046","","","6302","","21316","","10393","","46","","2.575977","results_rect","19849","0.735379","12834","satisfy","986","2859528","17240","111","complete","7086","1104","1","465","","0","1501","11337","0","19803","","","","0.203783","","",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","2.5819036848843098","","","3312","","11390","","8052","","36","","1.717768","results_rect","10368","0.446458","7092","satisfy","369","612029","14564","85","complete","4015","72","1","283","","0","362","8165","0","11016","","","","0.113808","","",""
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.81557681504637","","","2400","","8350","","1356","","32","","0.12387","results_rect","7520","0.325723","5152","satisfy","2381","53437","1343","73","complete","2959","64","1","0","","0","306","2368","0","8032","","","","0.080281","","",""
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.6656710961834","","","9585","","31769","","4183120","","54","","1198.608094","results_rect","29781","1.07116","20250","satisfy","19","155747512","4173679","135","complete","11022","108","0","0","","0","626","0","0","31131","","","","0.316773","","",""
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.5265067247674","","","7344","","24610","","4688881","","48","","1198.942753","results_rect","22896","0.816657","15600","satisfy","16","155971689","4685190","121","complete","8575","96","0","0","","0","550","0","0","24048","","","","0.236688","","",""
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","26.52387895528227","","","4956","","16839","","122284","","42","","25.411761","results_rect","15498","0.594408","10584","satisfy","102","7012080","155291","103","complete","5905","84","1","4259","","0","447","62944","0","16380","","","","0.158184","","",""
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.5374478558078","","","8075","","27015","","4555212","","50","","1198.733866","results_rect","25175","1.00472","17150","satisfy","16","152077015","4549436","127","complete","9408","100","0","0","","0","578","0","0","26425","","","","0.259282","","",""
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","46.77947000414133","","","8075","","27015","","148844","","50","","45.068184","results_rect","25175","0.938886","17150","satisfy","1047","11349172","221111","127","complete","9408","100","1","6669","","0","578","134947","0","26425","","","","0.264597","","",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.577117403037846","","","3980","","13545","","2606","","40","","0.474692","results_rect","12420","0.527025","8480","satisfy","69","167109","3492","93","complete","4759","80","1","27","","0","393","1171","0","13140","","","","0.131169","","",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.8788991579785943","","","1965","","6903","","1086","","30","","0.119041","results_rect","6165","0.324178","4230","satisfy","1955","64404","1337","67","complete","2458","60","1","79","","0","276","2433","0","6615","","","","0.0686","","",""
