"configuration","problem","model","data_file","status","time","flatBoolVars","failures","propagations","run","nSolutions","eliminatedImplications","flatBoolConstraints","evaluatedReifiedConstraints","trailMem","intVariables","blockType","userDecisions","peakMem","backjumps","solutions","flatIntConstraints","objective","evaluatedHalfReifiedConstraints","objectiveBound","paths","extractedViews","method","baseMem","initTime","flatIntVars","variables","solveTime","nodes","restarts","peakDepth","flatTime","intVars","nogoods","randomSeed","oracleDecisions","unifiedVariables","boolVariables","propagators"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","3.6439468655735254","10980","22025","2383479","results_rect","1","36","3465","7092","","85","complete","22107","","","","12001","","684","","0","11016","satisfy","","0.122598","4015","","2.57883","","0","84","0.45366","","","","65","0","","971"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.4280196446925402","11780","3446","161496","results_rect","1","38","3762","8056","","91","complete","2606","","","","12901","","76","","0","12502","satisfy","","0.124751","4543","","0.460599","","27","62","0.46753","","","","1104","0","","387"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","264.58394942153245","36453","1114334","53441279","results_rect","1","58","11745","24766","","147","complete","660123","","","","38729","","116","","0","38019","satisfy","","0.393221","13406","","262.016066","","17157","2122","1.4344","","","","637891","0","","698"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","UNKNOWN","1200.3824789477512","176","31796929","877770761","results_rect","0","88","132","","","","","","","","0","261","","176","","0","","satisfy","","0.01996","115","295","1199.9","63594100","0","57","0.103148","","","","","","","395"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","11.394632534123957","25175","51720","2655165","results_rect","1","50","8075","17150","","127","complete","37527","","","","27015","","100","","0","26425","satisfy","","0.266751","9408","","9.428376","","1419","1191","1.01803","","","","27507","0","","578"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","903.1078860331327","1242","5398849","2540067808","results_rect","1","46","437","1104","0.05","","","","0.0","191405","","1284","","92","","0","","satisfy","0.0","0.033","121","20306","902.662","5590276","0","27","0.134254","145","5398849","-768510090","","","20159","2333"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.5853775711730123","13820","3845","189476","results_rect","1","40","4420","9440","","97","complete","2444","","","","15053","","80","","0","14620","satisfy","","0.1401","5283","","0.489376","","27","4420","0.557403","","","","10506","0","","421"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.6251004254445434","13820","3880","191815","results_rect","1","40","4420","9440","","97","complete","2444","","","","15053","","80","","0","14620","satisfy","","0.146083","5283","","0.505329","","27","4420","0.594538","","","","10545","0","","421"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","4.804369213059545","12420","25464","1095974","results_rect","1","40","3980","8480","","93","complete","25544","","","","13545","","80","","0","13140","satisfy","","0.135473","4759","","3.746705","","0","21","0.510973","","","","0","0","","393"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","3.9443706003949046","19849","17240","2859528","results_rect","1","46","6302","12834","","111","complete","10393","","","","21316","","1104","","0","19803","satisfy","","0.203783","7086","","2.575977","","465","986","0.735379","","","","11337","0","","1501"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","2.5819036848843098","10368","14564","612029","results_rect","1","36","3312","7092","","85","complete","8052","","","","11390","","72","","0","11016","satisfy","","0.113808","4015","","1.717768","","283","369","0.446458","","","","8165","0","","362"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8047762429341674","7520","1343","53437","results_rect","1","32","2400","5152","","73","complete","1356","","","","8350","","64","","0","8032","satisfy","","0.083908","2959","","0.121378","","0","2381","0.326865","","","","2368","0","","306"
